Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
11 3774.19 870.00 90.526237 71.2857 0.0826767 11.2991 0.149302 0 0.462765 0 0.0183726 0 0 0.376638 4.12465 4.30837 0 7.89242
11 4387.10 870.00 91.457851 70.5595 0.0818345 11.184 0.143429 0 0.461968 0 0.0181854 0 0 0.372802 4.08263 4.26449 0 8.831093
12 3927.42 867.00 90.761671 71.1007 0.0824622 11.2698 0.148293 0 0.462125 0 0.0183249 0 0 0.375661 4.11395 4.2972 0 8.131417
12 2241.94 867.00 88.440191 72.9671 0.0846268 11.5657 0.165171 0 0.462571 0 0.0188059 0 0 0.385522 4.22194 4.40999 0 5.7186
12 5000.00 867.00 92.536375 69.7371 0.0808807 11.0537 0.137965 0 0.459996 0 0.0179735 0 0 0.368457 4.03505 4.21478 0 9.8
1
12 4387.10 867.00 91.474496 70.5467 0.0818196 11.182 0.143865 0 0.461468 0 0.0181821 0 0 0.372734 4.08189 4.26371 0 8.84763
13 1629.03 864.00 87.573293 73.6894 0.0854645 11.6801 0.172537 0 0.461993 0 0.0189921 0 0 0.389338 4.26373 4.45365 0 4.78476
13 862.90 864.00 86.268994 74.8035 0.0867566 11.8567 0.182294 0 0.462545 0 0.0192793 0 0 0.395225 4.32819 4.52098 0 3.34449
13 4693.55 864.00 92.008435 70.1373 0.0813448 11.1171 0.14134 0 0.460311 0 0.0180766 0 0 0.370571 4.0582 4.23897 0 9.376772
13 1935.48 864.00 88.018508 73.3167 0.0850322 11.6211 0.169057 0 0.462002 0 0.018896 0 0 0.387369 4.24216 4.43112 0 5.266
1
13 4846.77 864.00 92.280943 69.9302 0.0811046 11.0843 0.139853 0 0.459914 0 0.0180232 0 0 0.369476 4.04622 4.22645 0 9.644
13 4387.10 864.00 91.491183 70.5338 0.0818047 11.18 0.144307 0 0.460962 0 0.0181788 0 0 0.372666 4.08114 4.26293 0 8.86421
14 3927.42 861.00 90.784176 71.0831 0.0824418 11.267 0.14924 0 0.461125 0 0.0183204 0 0 0.375568 4.11293 4.29613 0 8.1540829
14 4693.55 861.00 92.030040 70.1208 0.0813257 11.1145 0.141767 0 0.459789 0 0.0180724 0 0 0.370484 4.05725 4.23797 0 9.39839
14 1935.48 861.00 88.020906 73.3147 0.0850299 11.6208 0.169632 0 0.461468 0 0.0188955 0 0 0.387358 4.24205 4.431 0 5.2691
1
14 2088.71 861.00 88.235175 73.1366 0.0848234 11.5925 0.167943 0 0.461496 0 0.0188496 0 0 0.386418 4.23175 4.42024 0 5.4993
14 4846.77 861.00 92.305437 69.9116 0.0810831 11.0814 0.140269 0 0.459384 0 0.0180185 0 0 0.369378 4.04514 4.22533 0 9.66842
15 862.90 858.00 86.273550 74.7995 0.0867521 11.8561 0.183547 0 0.461385 0 0.0192782 0 0 0.395204 4.32796 4.52075 0 3.349467
15 3927.42 858.00 90.795373 71.0744 0.0824316 11.2657 0.149724 0 0.460616 0 0.0183181 0 0 0.375522 4.11242 4.2956 0 8.165365
15 3161.29 858.00 89.693492 71.9475 0.0834443 11.404 0.15733 0 0.461086 0 0.0185432 0 0 0.380135 4.16294 4.34837 0 7.0366433
15 1782.26 858.00 87.803825 73.4959 0.0852401 11.6495 0.171945 0 0.460905 0 0.0189422 0 0 0.388316 4.25253 4.44196 0 5.0347
16 1169.35 855.00 86.843151 74.3089 0.086183 11.7783 0.180001 0 0.460466 0 0.0191518 0 0 0.392612 4.29958 4.49109 0 3.983
16 3927.42 855.00 90.806528 71.0656 0.0824215 11.2643 0.150214 0 0.460102 0 0.0183159 0 0 0.375476 4.11192 4.29507 0 8.17659
16 3467.74 855.00 90.128706 71.6001 0.0830413 11.349 0.154783 0 0.460468 0 0.0184536 0 0 0.378299 4.14284 4.32738 0 7.48568
16 1782.26 855.00 87.806037 73.4941 0.085238 11.6492 0.172542 0 0.460353 0 0.0189418 0 0 0.388306 4.25243 4.44184 0 5.03718
16 3008.06 855.00 89.488529 72.1123 0.0836354 11.4302 0.159418 0 0.460588 0 0.0185856 0 0 0.381006 4.17248 4.35833 0 6.8235
17 3927.42 852.00 90.817639 71.0569 0.0824114 11.2629 0.150711 0 0.459582 0 0.0183136 0 0 0.37543 4.11141 4.29455 0 8.18777
17 3620.97 852.00 90.357846 71.4185 0.0828307 11.3202 0.15377 0 0.459858 0 0.0184068 0 0 0.37734 4.13233 4.3164 0 7.7203581
17 4233.87 852.00 91.303579 70.6787 0.0819728 11.2029 0.147662 0 0.459158 0 0.0182162 0 0 0.373432 4.08953 4.27169 0 8.676

18 3927.42 849.00 90.828702 71.0483 0.0824013 11.2615 0.151215 0 0.459056 0 0.0183114 0 0 0.375384 4.11091 4.29403 0 8.198
17 3008.06 852.00 89.493133 72.1086 0.0836311 11.4296 0.159966 0 0.460063 0 0.0185847 0 0 0.380986 4.17226 4.35811 0 6.82824
18 3161.29 849.00 89.709498 71.9347 0.0834294 11.402 0.15895 0 0.45952 0 0.0185399 0 0 0.380067 4.1622 4.3476 0 7.053020
18 2395.16 849.00 88.664708 72.7823 0.0844125 11.5364 0.166951 0 0.459422 0 0.0187583 0 0 0.384546 4.21124 4.39883 0 5.95715
18 4233.87 849.00 91.318272 70.6674 0.0819596 11.2011 0.148146 0 0.458627 0 0.0182132 0 0 0.373371 4.08887 4.271 0 8.6912927
19 1169.35 846.00 86.849906 74.3032 0.0861763 11.7774 0.18192 0 0.458692 0 0.0191503 0 0 0.392581 4.29924 4.49075 0 3.99097
18 3008.06 849.00 89.497639 72.1049 0.0836269 11.429 0.160521 0 0.459533 0 0.0185837 0 0 0.380967 4.17205 4.35789 0 6.83288
19 556.45 850.00 85.612082 75.3775 0.0874223 11.9477 0.18998 0 0.460438 0 0.0194272 0 0 0.398257 4.3614 4.55567 0 2.6022158
19 4233.87 846.00 91.332962 70.656 0.0819464 11.1993 0.148637 0 0.45809 0 0.0182103 0 0 0.373311 4.08821 4.27032 0 8.705929
20 1629.03 843.00 87.588319 73.6767 0.0854498 11.6781 0.176815 0 0.458038 0 0.0189889 0 0 0.389271 4.263 4.45289 0 4.8006643
19 3008.06 846.00 89.502045 72.1014 0.0836228 11.4284 0.161084 0 0.458997 0 0.0185828 0 0 0.380948 4.17185 4.35767 0 6.83747
20 4846.77 843.00 92.456312 69.7975 0.0809507 11.0633 0.142884 0 0.456076 0 0.0179891 0 0 0.368776 4.03854 4.21843 0 9.81

20 4387.10 843.00 91.609028 70.4431 0.0816995 11.1656 0.147578 0 0.457259 0 0.0181554 0 0 0.372186 4.07589 4.25745 0
21 39
21 1629.03 840.00 87.590250 73.6751 0.085448 11.6779 0.177458 0 0.457445 0 0.0189884 0 0 0.389263 4.2629 4.45279 0 4.8027
20 3008.06 843.00 89.506347 72.0979 0.0836187 11.4279 0.161655 0 0.458454 0 0.0185819 0 0 0.38093 4.17165 4.35747 0 6.84182
21 4080.65 840.00 91.107823 70.8306 0.0821489 11.227 0.151204 0 0.457243 0 0.0182553 0 0 0.374234 4.09832 4.28087 0 8.4801

21 4233.87 840.00 91.362323 70.6333 0.0819201 11.1957 0.149639 0 0.456998 0 0.0182045 0 0 0.373191 4.0869 4.26895 0 8.735165
22 1629.03 837.00 87.592122 73.6735 0.0854461 11.6776 0.178111 0 0.456845 0 0.018988 0 0 0.389255 4.26281 4.45269 0 4.804664
22 1169.35 837.00 86.856441 74.2976 0.0861699 11.7765 0.183913 0 0.456851 0 0.0191489 0 0 0.392552 4.29892 4.49041 0 3.99792
22 556.45 849.20 85.612609 75.377 0.0874218 11.9476 0.19016 0 0.460272 0 0.0194271 0 0 0.398255 4.36138 4.55565 0 2.60279166
22 4846.77 837.00 92.508149 69.7584 0.0809054 11.0571 0.143802 0 0.454922 0 0.017979 0 0 0.368569 4.03628 4.21607 0 9.86598
23 2701.61 834.00 89.095247 72.4306 0.0840046 11.4806 0.166673 0 0.456725 0 0.0186677 0 0 0.382687 4.19089 4.37757 0 6.411
22 3008.06 837.00 89.514623 72.0913 0.083611 11.4268 0.16282 0 0.45735 0 0.0185802 0 0 0.380895 4.17126 4.35706 0 6.85032
23 250.00 897.00 83.685062 76.2806 0.0894354 11.9705 0.187786 0 0.476951 0 0.0198745 0 0 0.393497 4.34656 4.62602 0 1.6088
23 403.23 871.40 85.202801 75.7343 0.0878423 12.0035 0.187963 0 0.465285 0 0.0195205 0 0 0.400072 4.38162 4.57735 0 2.142
2
24 862.90 831.00 86.293860 74.7819 0.0867316 11.8533 0.189592 0 0.455798 0 0.0192737 0 0 0.395111 4.32694 4.51968 0 3.371
2
23 3008.06 834.00 89.518590 72.0881 0.0836073 11.4263 0.163415 0 0.456788 0 0.0185794 0 0 0.380878 4.17108 4.35687 0 6.8
24 1169.35 831.00 86.860662 74.294 0.0861657 11.776 0.185286 0 0.455586 0 0.0191479 0 0 0.392533 4.29871 4.49019 0 4.00245
24 1935.48 831.00 88.041061 73.2979 0.0850104 11.6181 0.175814 0 0.455765 0 0.0188912 0 0 0.38727 4.24108 4.42999 0 5.29022
24 2854.84 831.00 89.309137 72.2571 0.0838034 11.4531 0.165648 0 0.456194 0 0.018623 0 0 0.381771 4.18086 4.36709 0 6.63575
