Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
12 4693.55 867.00 8.026033 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
14 4080.65 861.00 8.994961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
11 5000.00 870.00 7.503611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
14 3927.42 861.00 9.229398 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
13 4693.55 864.00 8.004594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
12 4387.10 867.00 8.538689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
15 4080.65 858.00 8.982169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
12 5000.00 867.00 7.476416 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
13 4233.87 864.00 8.768495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
15 3927.42 858.00 9.218247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
13 4387.10 864.00 8.522045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
13 4540.32 864.00 8.267672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
14 4693.55 861.00 7.983031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
16 4080.65 855.00 8.969400 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
14 4233.87 861.00 8.753861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
13 5000.00 864.00 7.448977 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
14 4540.32 861.00 8.248688 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
16 3927.42 855.00 9.207138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
15 4693.55 858.00 7.961344 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
14 4846.77 861.00 7.707535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
15 4233.87 858.00 8.739221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
15 4540.32 858.00 8.229627 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
17 4080.65 852.00 8.956654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
14 5000.00 861.00 7.421291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
17 3927.42 852.00 9.196074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
16 4693.55 855.00 7.939531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
16 4233.87 855.00 8.724576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
15 4846.77 858.00 7.682901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
18 4080.65 849.00 8.943936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
18 3927.42 849.00 9.185059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
16 4540.32 855.00 8.210489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
15 5000.00 858.00 7.393353 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
17 4233.87 852.00 8.709929 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
16 4387.10 855.00 8.471880 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
17 4540.32 852.00 8.191276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
17 4693.55 852.00 7.917594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
19 3927.42 846.00 9.174096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
16 5000.00 855.00 7.365159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
18 4233.87 849.00 8.695282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
17 4846.77 852.00 7.633079 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
18 4540.32 849.00 8.171988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
17 4387.10 852.00 8.455087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
20 4080.65 843.00 8.918595 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
17 5000.00 852.00 7.336705 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
18 4846.77 849.00 7.607886 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
20 3927.42 843.00 9.163188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
18 4387.10 849.00 8.438260 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
19 4540.32 846.00 8.152627 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
21 4080.65 840.00 8.905979 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
21 3927.42 840.00 9.152339 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
19 4387.10 846.00 8.421403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
20 4540.32 843.00 8.133193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
