Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
16 4693.55 855.00 100.013158 64.5237 0.0748342 10.2273 0.131315 0 0.422311 0 0.0166298 0 0 0.340911 3.7334 3.89969 0 16.6298
26 4387.10 825.00 100.013841 64.5233 0.0748337 10.2273 0.138135 0 0.41617 0 0.0166297 0 0 0.340909 3.73337 3.89967 0 16.6297
6 4846.77 885.00 100.012652 64.5241 0.0748346 10.2274 0.126266 0 0.426857 0 0.0166299 0 0 0.340913 3.73342 3.89971 0 16.6299
17 4693.55 852.00 100.013202 64.5237 0.0748342 10.2273 0.131756 0 0.421914 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
9 4233.87 876.00 100.013157 64.5237 0.0748342 10.2273 0.131308 0 0.422317 0 0.0166298 0 0 0.340911 3.7334 3.89969 0 16.6298
10 4233.87 873.00 100.013199 64.5237 0.0748342 10.2273 0.131725 0 0.421942 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
11 4233.87 870.00 100.013241 64.5237 0.0748342 10.2273 0.132147 0 0.421561 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
27 4387.10 822.00 100.013893 64.5233 0.0748337 10.2273 0.138652 0 0.415705 0 0.0166297 0 0 0.340909 3.73337 3.89967 0 16.6297
17 5000.00 852.00 100.013000 64.5238 0.0748343 10.2274 0.129741 0 0.423728 0 0.0166299 0 0 0.340912 3.7334 3.8997 0 16.6299
28 4387.10 819.00 100.013946 64.5232 0.0748336 10.2273 0.139176 0 0.415233 0 0.0166297 0 0 0.340909 3.73337 3.89966 0 16.6297
29 4387.10 816.00 100.013999 64.5232 0.0748336 10.2273 0.139706 0 0.414756 0 0.0166297 0 0 0.340909 3.73337 3.89966 0 16.6297
18 5000.00 849.00 100.013044 64.5238 0.0748343 10.2274 0.130176 0 0.423337 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
19 5000.00 846.00 100.013088 64.5238 0.0748343 10.2274 0.130616 0 0.42294 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
18 4540.32 849.00 100.013349 64.5236 0.0748341 10.2273 0.133221 0 0.420595 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
19 4540.32 846.00 100.013395 64.5236 0.0748341 10.2273 0.133679 0 0.420182 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
12 4233.87 867.00 100.013284 64.5237 0.0748341 10.2273 0.132575 0 0.421176 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
18 4693.55 849.00 100.013247 64.5237 0.0748342 10.2273 0.132203 0 0.421511 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
7 4846.77 882.00 100.012690 64.524 0.0748346 10.2274 0.126647 0 0.426514 0 0.0166299 0 0 0.340913 3.73341 3.89971 0 16.6299
19 4693.55 846.00 100.013292 64.5236 0.0748341 10.2273 0.132656 0 0.421104 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
13 4233.87 864.00 100.013328 64.5236 0.0748341 10.2273 0.133009 0 0.420786 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
20 4693.55 843.00 100.013338 64.5236 0.0748341 10.2273 0.133114 0 0.420691 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
8 4846.77 879.00 100.012729 64.524 0.0748345 10.2274 0.127033 0 0.426166 0 0.0166299 0 0 0.340913 3.73341 3.89971 0 16.6299
21 4693.55 840.00 100.013385 64.5236 0.0748341 10.2273 0.133579 0 0.420272 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
