Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
11 6550.00 1220.00 99.947885 42.7848 2.81895 14.4545 1.97495 0 12.1213 0.281498 8.29825 0 0 10.6979 2.9934 1.14483 0.506499 0.994349 0.928797
14 5325.00 1222.00 99.939749 43.2618 2.7683 13.917 1.85513 0 12.1638 0.214551 8.93267 0 0 10.6749 2.94312 1.09858 0.47976 0.988977 0.701318
16 4834.27 1157.00 99.946009 45.452 2.33238 16.3048 2.55614 0 11.5703 0.216016 5.49299 0 0 7.85125 4.44775 1.52705 0.723704 1.02384 0.501797
12 6525.00 1220.00 99.942739 42.787 2.81909 14.4553 1.97505 0 12.1219 0.281513 8.29868 0 0 10.6985 2.99355 1.14488 0.506525 0.994289 0.923807
17 4809.22 1157.00 99.942481 45.4536 2.33246 16.3053 2.55623 0 11.5707 0.216024 5.49318 0 0 7.85153 4.4479 1.5271 0.72373 1.02379 0.498374
15 5300.00 1222.00 99.935191 43.2638 2.76843 13.9176 1.85521 0 12.1644 0.214561 8.93308 0 0 10.6754 2.94326 1.09863 0.479782 0.988908 0.696904
16 5275.00 1222.00 99.930645 43.2658 2.76856 13.9183 1.8553 0 12.165 0.214571 8.93349 0 0 10.6759 2.94339 1.09868 0.479804 0.988838 0.692501
18 4784.17 1157.00 99.938963 45.4552 2.33254 16.3059 2.55632 0 11.5711 0.216032 5.49337 0 0 7.8518 4.44806 1.52715 0.723756 1.02374 0.49496
19 4759.13 1157.00 99.935453 45.4568 2.33263 16.3065 2.55641 0 11.5715 0.216039 5.49357 0 0 7.85208 4.44822 1.52721 0.723781 1.02368 0.491556
17 5250.00 1222.00 99.926110 43.2677 2.76868 13.9189 1.85538 0 12.1655 0.21458 8.93389 0 0 10.6764 2.94352 1.09873 0.479825 0.988767 0.68811
14 6475.00 1220.00 99.932486 42.7913 2.81938 14.4568 1.97525 0 12.1231 0.281542 8.29953 0 0 10.6996 2.99386 1.145 0.506577 0.994169 0.913864
20 4734.08 1157.00 99.931953 45.4584 2.33271 16.307 2.5565 0 11.5719 0.216047 5.49376 0 0 7.85235 4.44837 1.52726 0.723806 1.02363 0.48816
18 5225.00 1222.00 99.921586 43.2697 2.76881 13.9195 1.85547 0 12.1661 0.21459 8.9343 0 0 10.6768 2.94366 1.09878 0.479847 0.988696 0.68373
15 6450.00 1220.00 99.927378 42.7935 2.81953 14.4575 1.97536 0 12.1238 0.281556 8.29995 0 0 10.7001 2.99401 1.14506 0.506602 0.994109 0.908911
19 5200.00 1222.00 99.917073 43.2716 2.76893 13.9202 1.85555 0 12.1666 0.2146 8.9347 0 0 10.6773 2.94379 1.09883 0.479869 0.988624 0.67936
21 4709.03 1157.00 99.928461 45.46 2.33279 16.3076 2.55659 0 11.5723 0.216054 5.49395 0 0 7.85263 4.44853 1.52731 0.723832 1.02357 0.484774
16 6425.00 1220.00 99.922283 42.7957 2.81967 14.4582 1.97546 0 12.1244 0.28157 8.30038 0 0 10.7007 2.99416 1.14512 0.506628 0.994047 0.90397
20 5175.00 1222.00 99.912571 43.2736 2.76906 13.9208 1.85563 0 12.1672 0.214609 8.9351 0 0 10.6778 2.94392 1.09888 0.47989 0.988551 0.675002
17 6400.00 1220.00 99.917200 42.7979 2.81981 14.459 1.97556 0 12.125 0.281585 8.3008 0 0 10.7012 2.99432 1.14518 0.506654 0.993986 0.89904
21 5150.00 1222.00 99.908080 43.2755 2.76918 13.9214 1.85572 0 12.1677 0.214619 8.9355 0 0 10.6783 2.94406 1.09893 0.479912 0.988478 0.670655
18 6375.00 1220.00 99.912128 42.8001 2.81996 14.4597 1.97566 0 12.1256 0.281599 8.30122 0 0 10.7018 2.99447 1.14524 0.50668 0.993924 0.894123
22 5125.00 1222.00 99.903600 43.2775 2.76931 13.922 1.8558 0 12.1683 0.214629 8.9359 0 0 10.6788 2.94419 1.09898 0.479933 0.988404 0.666319
19 6350.00 1220.00 99.907070 42.8022 2.8201 14.4604 1.97576 0 12.1262 0.281613 8.30164 0 0 10.7023 2.99462 1.14529 0.506705 0.993861 0.889218
23 5100.00 1222.00 99.899131 43.2794 2.76943 13.9227 1.85588 0 12.1688 0.214638 8.9363 0 0 10.6792 2.94432 1.09903 0.479955 0.988329 0.661994
22 4683.98 1157.00 99.924978 45.4616 2.33287 16.3082 2.55668 0 11.5727 0.216062 5.49414 0 0 7.8529 4.44868 1.52737 0.723857 1.02352 0.481396
20 6325.00 1220.00 99.902023 42.8044 2.82024 14.4612 1.97586 0 12.1268 0.281627 8.30206 0 0 10.7028 2.99477 1.14535 0.506731 0.993798 0.884325
24 5075.00 1222.00 99.894673 43.2813 2.76955 13.9233 1.85597 0 12.1693 0.214648 8.9367 0 0 10.6797 2.94445 1.09908 0.479976 0.988254 0.65768
23 4658.93 1157.00 99.921503 45.4632 2.33295 16.3088 2.55677 0 11.5732 0.216069 5.49433 0 0 7.85317 4.44884 1.52742 0.723882 1.02346 0.478028
21 6300.00 1220.00 99.896989 42.8066 2.82038 14.4619 1.97596 0 12.1274 0.281642 8.30248 0 0 10.7034 2.99492 1.14541 0.506757 0.993735 0.879443
25 5050.00 1222.00 99.890225 43.2833 2.76968 13.9239 1.85605 0 12.1699 0.214657 8.9371 0 0 10.6802 2.94458 1.09913 0.479998 0.988178 0.653377
24 4633.88 1157.00 99.918038 45.4647 2.33303 16.3093 2.55686 0 11.5736 0.216077 5.49452 0 0 7.85345 4.44899 1.52747 0.723907 1.0234 0.474669
22 6275.00 1220.00 99.891967 42.8087 2.82052 14.4626 1.97606 0 12.1281 0.281656 8.3029 0 0 10.7039 2.99507 1.14547 0.506782 0.993671 0.874574
26 5025.00 1222.00 99.885788 43.2852 2.7698 13.9245 1.85613 0 12.1704 0.214667 8.9375 0 0 10.6807 2.94471 1.09917 0.480019 0.988101 0.649084
25 4608.83 1157.00 99.914581 45.4663 2.33311 16.3099 2.55695 0 11.574 0.216084 5.49471 0 0 7.85372 4.44915 1.52753 0.723932 1.02335 0.471318
23 6250.00 1220.00 99.886956 42.8109 2.82067 14.4634 1.97615 0 12.1287 0.28167 8.30331 0 0 10.7044 2.99522 1.14552 0.506807 0.993606 0.869716
27 5000.00 1222.00 99.881362 43.2871 2.76992 13.9251 1.85621 0 12.171 0.214676 8.93789 0 0 10.6811 2.94484 1.09922 0.48004 0.988024 0.644803
26 4583.79 1157.00 99.911133 45.4679 2.33319 16.3104 2.55703 0 11.5744 0.216092 5.4949 0 0 7.85399 4.4493 1.52758 0.723957 1.02329 0.467977
24 6225.00 1220.00 99.881959 42.813 2.82081 14.4641 1.97625 0 12.1293 0.281684 8.30373 0 0 10.705 2.99537 1.14558 0.506833 0.993541 0.864871
28 4975.00 1222.00 99.876947 43.289 2.77004 13.9258 1.8563 0 12.1715 0.214686 8.93829 0 0 10.6816 2.94497 1.09927 0.480062 0.987946 0.640533
27 4558.74 1157.00 99.907694 45.4695 2.33327 16.311 2.55712 0 11.5747 0.216099 5.49509 0 0 7.85426 4.44945 1.52763 0.723982 1.02323 0.464645
25 6200.00 1220.00 99.876973 42.8151 2.82095 14.4648 1.97635 0 12.1299 0.281698 8.30414 0 0 10.7055 2.99552 1.14564 0.506858 0.993475 0.860037
29 4950.00 1222.00 99.872543 43.2909 2.77017 13.9264 1.85638 0 12.172 0.214695 8.93868 0 0 10.6821 2.9451 1.09932 0.480083 0.987867 0.636273
28 4533.69 1157.00 99.904263 45.471 2.33335 16.3116 2.55721 0 11.5751 0.216107 5.49528 0 0 7.85453 4.4496 1.52768 0.724007 1.02317 0.461321
26 6175.00 1220.00 99.871999 42.8173 2.82109 14.4655 1.97645 0 12.1305 0.281712 8.30456 0 0 10.7061 2.99567 1.1457 0.506883 0.993409 0.855215
30 4925.00 1222.00 99.868149 43.2928 2.77029 13.927 1.85646 0 12.1726 0.214705 8.93908 0 0 10.6826 2.94523 1.09937 0.480104 0.987788 0.632025
29 4508.64 1157.00 99.900841 45.4726 2.33343 16.3121 2.5573 0 11.5755 0.216114 5.49547 0 0 7.8548 4.44976 1.52774 0.724032 1.02311 0.458007
