Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
28 7500.00 1081.00 6.826580 9.49851 3.49072 11.0045 49.9581 0 6.199 0.0255539 14.3695 0 0 5.23963 0.214433 0 0 0 0
5 4700.00 1012.00 19.410359 33.6989 2.05087 23.052 21.4923 0 2.27692 0 6.36664 0 0 8.31375 2.69634 0.0523683 0 0 0
29 7500.00 1084.00 6.322083 6.92325 3.37996 10.9184 53.2872 0 6.64889 0.025772 14.8367 0 0 3.82545 0.154441 0 0 0 0
30 7300.00 1087.00 5.315070 0 3.08923 10.6858 62.2537 0 7.77638 0.0266974 16.1682 0 0 0 0 0 0 0 0
28 7100.00 1081.00 5.867565 3.56999 3.28557 10.8069 57.5673 0 7.07493 0.0260612 15.5831 0 0 2.01122 0.074911 0 0 0 0
9 5100.00 1024.00 16.016668 29.7314 2.29907 20.5923 24.8393 0 2.87381 0 8.14248 0 0 9.41244 2.07093 0.0382066 0 0 0
10 5500.00 1027.00 15.597428 29.0869 2.50801 19.9204 25.3037 0 3.01626 0 8.46699 0 0 9.70865 1.95318 0.0358963 0 0 0
30 7500.00 1087.00 5.805946 3.83198 3.24212 10.8201 57.2854 0 7.1912 0.0260692 15.3978 0 0 2.12086 0.084476 0 0 0 0
11 6900.00 1030.00 15.738701 28.9685 2.99634 17.0175 24.7692 0 3.30778 0 9.49316 0 0 11.8478 1.57442 0.0253546 0 0 0
11 6700.00 1030.00 15.658866 28.8925 2.95505 17.4793 24.9254 0 3.2724 0 9.33876 0 0 11.4777 1.63162 0.0272772 0 0 0
10 5900.00 1027.00 15.974881 29.3975 2.68398 19.3936 24.7172 0 3.03547 0 8.56178 0 0 10.2632 1.9124 0.034905 0 0 0
10 5300.00 1027.00 15.387161 28.923 2.40268 20.1364 25.6338 0 3.01256 0 8.44601 0 0 9.44254 1.96689 0.0361483 0 0 0
11 5700.00 1030.00 14.938705 28.197 2.6209 19.3426 26.1814 0 3.17153 0 8.83403 0 0 9.79282 1.82661 0.0331946 0 0 0
9 4900.00 1024.00 15.784963 29.5671 2.18474 20.7577 25.1812 0 2.87376 0 8.14604 0 0 9.17537 2.07585 0.0381577 0 0 0
5 4100.00 1012.00 18.678400 32.9781 2.0723 22.8982 22.2178 0 2.28616 0 6.60225 0 0 8.32642 2.57045 0.0482794 0 0 0
31 7500.00 1090.00 5.277718 0.0493592 3.06797 10.7056 62.1797 0 7.85746 0.0264675 16.0851 0 0 0.0273631 0.00107542 0 0 0 0
31 7300.00 1090.00 5.247726 0 2.95018 10.6685 62.2868 0 7.86324 0.024018 16.2073 0 0 0 0 0 0 0 0
29 7100.00 1084.00 5.357487 0 3.1112 10.6667 62.2639 0 7.68814 0.0268857 16.2431 0 0 0 0 0 0 0 0
11 5300.00 1030.00 14.527282 27.8476 2.39923 19.826 26.8905 0 3.16581 0 8.77741 0 0 9.19459 1.86477 0.0340558 0 0 0
6 4500.00 1015.00 18.288623 32.7354 2.00975 22.8085 22.5496 0 2.38472 0 6.68377 0 0 8.20694 2.57223 0.0490728 0 0 0
10 5100.00 1027.00 15.164335 28.7526 2.28641 20.3274 25.989 0 3.01231 0 8.43997 0 0 9.17899 1.97714 0.0362779 0 0 0
11 5500.00 1030.00 14.740064 28.0259 2.51646 19.6007 26.5215 0 3.16656 0 8.7964 0 0 9.49075 1.84794 0.0337056 0 0 0
11 5900.00 1030.00 15.121522 28.3609 2.71202 19.0464 25.8699 0 3.18118 0 8.89247 0 0 10.1046 1.79995 0.0324886 0 0 0
12 5700.00 1033.00 14.073722 27.0252 2.64065 18.9627 27.5213 0 3.33889 0 9.20528 0 0 9.5647 1.71051 0.0307821 0 0 0
6 4700.00 1015.00 18.525460 32.9786 2.00379 22.8635 22.3002 0 2.38125 0 6.60315 0 0 8.20534 2.61374 0.0504117 0 0 0
12 6900.00 1033.00 14.879235 27.8434 3.06185 16.4907 25.9621 0 3.46697 0 9.90045 0 0 11.8262 1.42636 0.0219512 0 0 0
32 7500.00 1093.00 5.204512 0 2.92796 10.6875 62.2746 0 7.95325 0.0238371 16.1328 0 0 0 0 0 0 0 0
5 4300.00 1012.00 18.930276 33.2298 2.06521 22.9533 21.9626 0 2.28205 0 6.51938 0 0 8.32439 2.61357 0.0496481 0 0 0
12 6700.00 1033.00 14.799553 27.7684 3.01457 16.9826 26.1305 0 3.43174 0 9.73609 0 0 11.422 1.49002 0.0240744 0 0 0
10 4900.00 1027.00 14.929873 28.5746 2.15936 20.4981 26.3703 0 3.01523 0 8.44712 0 0 8.91437 1.98462 0.0363106 0 0 0
32 7300.00 1093.00 5.179652 0 2.80635 10.6546 62.3159 0 7.9524 0.0213052 16.2494 0 0 0 0 0 0 0 0
11 5100.00 1030.00 14.301669 27.6612 2.26965 20.0241 27.2889 0 3.16889 0 8.77485 0 0 8.90012 1.87794 0.0342771 0 0 0
30 7100.00 1087.00 5.290528 0 2.9724 10.649 62.2987 0 7.77377 0.0241933 16.282 0 0 0 0 0 0 0 0
12 5300.00 1033.00 13.657038 26.6404 2.393 19.4691 28.3202 0 3.34014 0 9.15283 0 0 8.89669 1.75583 0.0318653 0 0 0
13 5700.00 1036.00 13.198668 25.7026 2.66142 18.5247 29.052 0 3.5301 0 9.62782 0 0 9.2877 1.5854 0.0282269 0 0 0
12 5900.00 1033.00 14.258602 27.2041 2.74224 18.6497 27.1727 0 3.34584 0 9.26487 0 0 9.91096 1.67969 0.0299473 0 0 0
13 6700.00 1036.00 13.931524 26.5092 3.08166 16.4146 27.4959 0 3.61214 0 10.1849 0 0 11.3444 1.33661 0.0206506 0 0 0
33 7500.00 1096.00 5.136045 0 2.78382 10.6742 62.302 0 8.04371 0.0211361 16.1751 0 0 0 0 0 0 0 0
12 5500.00 1033.00 13.872617 26.8374 2.52406 19.234 27.9037 0 3.33715 0 9.16872 0 0 9.22806 1.73559 0.0314092 0 0 0
7 4500.00 1018.00 17.388949 31.9281 1.95133 22.5837 23.4752 0 2.50233 0 6.95507 0 0 8.07301 2.48409 0.0470676 0 0 0
13 6900.00 1036.00 14.011303 26.5837 3.13595 15.889 27.3124 0 3.64701 0 10.3601 0 0 11.7878 1.26573 0.0183053 0 0 0
6 4100.00 1015.00 17.791161 32.2118 2.02119 22.6855 23.0926 0 2.39513 0 6.85926 0 0 8.2025 2.48562 0.0463759 0 0 0
33 7300.00 1096.00 5.110823 0 2.65746 10.6442 62.3409 0 8.04401 0.0185555 16.2949 0 0 0 0 0 0 0 0
12 5100.00 1033.00 13.428348 26.433 2.24791 19.6745 28.7717 0 3.34749 0 9.15517 0 0 8.56578 1.77219 0.0321853 0 0 0
11 4900.00 1030.00 14.064178 27.4654 2.12786 20.2002 27.7183 0 3.17558 0 8.78685 0 0 8.60322 1.8882 0.0343972 0 0 0
31 7100.00 1090.00 5.222844 0 2.82885 10.6346 62.3295 0 7.86164 0.0214682 16.324 0 0 0 0 0 0 0 0
13 5300.00 1036.00 12.776111 25.271 2.38338 19.0556 29.9621 0 3.5404 0 9.58223 0 0 8.53722 1.63856 0.0295509 0 0 0
34 7500.00 1099.00 5.066818 0 2.63456 10.6644 62.3252 0 8.13669 0.0183975 16.2208 0 0 0 0 0 0 0 0
13 5500.00 1036.00 12.994798 25.4927 2.53065 18.8101 29.4866 0 3.53255 0 9.59347 0 0 8.91033 1.61458 0.0289801 0 0 0
34 7300.00 1099.00 5.041215 0 2.50322 10.6374 62.3616 0 8.13824 0.0157657 16.3438 0 0 0 0 0 0 0 0
13 5900.00 1036.00 13.385896 25.901 2.7752 18.1931 28.6578 0 3.53356 0 9.68787 0 0 9.67427 1.54998 0.0272511 0 0 0
14 6900.00 1039.00 13.134827 25.1605 3.2207 15.1964 28.8539 0 3.85242 0 10.8834 0 0 11.7284 1.08991 0.0143618 0 0 0
