Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
16 4000.00 1355.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
17 10000.00 1352.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
17 1000.00 1352.00 99.584822 49.0389 0.702738 14.9816 1.60186 0 7.04154 0.183323 9.28836 0 0 11.9873 1.81286 0.621261 0.101846 2.63847
17 7000.00 1352.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
18 10000.00 1349.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
18 1000.00 1349.00 99.586757 49.0379 0.702724 14.9813 1.60182 0 7.0414 0.183319 9.28818 0 0 11.9871 1.81283 0.621249 0.101844 2.64037
18 7000.00 1349.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
19 10000.00 1346.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
19 7000.00 1346.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
20 10000.00 1343.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
20 1000.00 1343.00 99.590656 49.036 0.702697 14.9807 1.60176 0 7.04112 0.183312 9.28782 0 0 11.9866 1.81275 0.621225 0.10184 2.64418
21 10000.00 1340.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
21 1000.00 1340.00 99.592620 49.0351 0.702683 14.9804 1.60173 0 7.04099 0.183309 9.28764 0 0 11.9863 1.81272 0.621213 0.101838 2.6461
22 10000.00 1337.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
22 4000.00 1337.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
23 10000.00 1334.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
23 4000.00 1334.00 100.000000 48.8353 0.69982 14.9194 1.59521 0 7.0123 0.182562 9.2498 0 0 11.9375 1.80533 0.618682 0.101423 3.0427
