System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM) rhol rhos viscosity aH2O chisqr
17 10000.00 1448.00 100.110769 0.9985668406752243 0.998735 -1185834.483271 290.126831 35.967630 157.113037 -139.514112 2635.989544 -5.272 0.000 2.782889 3.153003 1.012 n/a n/a
20 8944.44 1431.70 100.111799 1.0000000000000000 1.000000 -1191668.811650 288.951275 36.082363 157.169973 -145.836843 2636.449519 -5.470 0.000 2.774536 0.000000 1.060 n/a n/a
21 8944.44 1431.60 100.111801 1.0000000000000000 1.000000 -1191684.547892 288.942060 36.082101 157.169968 -145.836976 2636.450256 -5.470 0.000 2.774556 0.000000 1.060 n/a n/a
22 8944.44 1431.50 100.111802 1.0000000000000000 1.000000 -1191700.284152 288.932844 36.081839 157.169963 -145.837109 2636.450992 -5.471 0.000 2.774576 0.000000 1.060 n/a n/a
23 8944.44 1431.40 100.111804 1.0000000000000000 1.000000 -1191716.020430 288.923627 36.081576 157.169959 -145.837241 2636.451729 -5.472 0.000 2.774596 0.000000 1.061 n/a n/a
18 10000.00 1451.00 100.110721 1.0000000000000000 1.000000 -1185295.035382 290.439508 35.981690 157.167042 -139.648482 2637.667857 -5.248 0.000 2.782268 0.000000 1.002 n/a n/a
24 8944.44 1431.30 100.111805 1.0000000000000000 1.000000 -1191731.756726 288.914409 36.081314 157.169954 -145.837374 2636.452465 -5.473 0.000 2.774616 0.000000 1.061 n/a n/a
19 10000.00 1450.00 100.110733 1.0000000000000000 1.000000 -1185452.366582 290.348356 35.979062 157.166969 -139.651045 2637.677692 -5.256 0.000 2.782472 0.000000 1.005 n/a n/a
25 8944.44 1431.20 100.111807 1.0000000000000000 1.000000 -1191747.493039 288.905192 36.081051 157.169949 -145.837507 2636.453202 -5.474 0.000 2.774637 0.000000 1.061 n/a n/a
20 10000.00 1449.00 100.110745 1.0000000000000000 1.000000 -1185609.699424 290.257152 35.976435 157.166897 -139.653612 2637.687539 -5.264 0.000 2.782676 0.000000 1.008 n/a n/a
