System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
9 7000.00 924.15 105.781415 1.0000000000000000 1.000000 -1389223.702292 294.012627 46.622424 146.815136 -428.871523 5716.652179 -12.035 -12.035 2.268896 0.000000 4.325 n/a n/a
9 2090.00 999.15 99.536743 1.0000000000000000 1.000000 -1302431.305227 289.101130 44.401840 144.130850 -387.824840 5170.696847 -11.087 -11.087 2.241726 0.000000 3.279 n/a n/a
10 10000.00 1276.15 98.050148 1.0000000000000000 1.000000 -1172577.658762 301.255986 39.178502 154.879650 -245.145276 5074.002017 -6.407 -6.407 2.502652 0.000000 0.995 n/a n/a

10 2000.00 1066.15 96.731715 1.0000000000000000 1.000000 -1243902.751098 261.903300 39.996930 135.984927 -301.148986 3104.380299 -10.094 -10.094 2.418479 0.000000 4.152 n/a n/a
8 2005.00 1232.15 96.374956 0.9986395102886029 0.988275 -1205658.122499 300.842229 41.440572 154.495968 -483.105353 5452.272003 -7.769 -7.769 2.350009 0.269840 1.025 n/a n/a
a
11 10000.00 1273.15 98.050148 1.0000000000000000 1.000000 -1173042.291724 300.955796 39.163280 154.875657 -245.217921 5074.002017 -6.439 -6.439 2.503625 0.000000 1.005 n/a n/a

11 7000.00 918.15 105.781415 1.0000000000000000 1.000000 -1390104.440845 293.275174 46.588124 146.764254 -429.248109 5716.652179 -12.154 -12.154 2.270566 0.000000 4.368 n/a n/a
10 10000.00 1171.15 100.121848 0.9977866131499643 0.998301 -1221394.773171 294.456234 39.631626 149.504337 -268.413540 5015.712850 -7.614 -7.614 2.525011 3.290614 1.901 n/a n/a
11 2090.00 993.15 99.536743 1.0000000000000000 1.000000 -1303295.988774 288.419900 44.370816 144.096912 -388.211747 5170.696847 -11.193 -11.193 2.243293 0.000000 3.315 n/a n/a

12 10000.00 1270.15 98.050148 1.0000000000000000 1.000000 -1173506.912702 300.655032 39.148058 154.871661 -245.290566 5074.002017 -6.471 -6.471 2.504598 0.000000 1.014 n/a n/a
9 2005.00 1229.15 96.374956 0.9986772554676209 0.988620 -1206122.581438 300.533372 41.415839 154.490399 -477.134321 5444.192711 -7.805 -7.805 2.350680 0.270481 1.034 n/a n/a
a
13 10000.00 1267.15 98.050148 1.0000000000000000 1.000000 -1173971.521683 300.353690 39.132836 154.867659 -245.363211 5074.002017 -6.503 -6.503 2.505572 0.000000 1.024 n/a n/a

11 2000.00 1063.15 96.731715 0.9998770172078719 0.999910 -1244314.667271 261.595391 39.987074 135.970919 -301.277122 3104.227389 -10.140 -10.140 2.418995 3.298041 4.172 n/a n/a
11 10000.00 1172.15 100.121848 0.9989620760372456 0.999203 -1221201.818813 294.589784 39.641215 149.547914 -268.486740 5017.447208 -7.601 -7.601 2.525091 3.289924 1.896 n/a n/a
14 10000.00 1264.15 98.050148 1.0000000000000000 1.000000 -1174436.118652 300.051768 39.117614 154.863653 -245.435856 5074.002017 -6.535 -6.535 2.506547 0.000000 1.034 n/a n/a

10 2005.00 1226.15 96.374956 0.9987151097913889 0.988966 -1206587.023174 300.223909 41.391133 154.484801 -471.177796 5436.068896 -7.840 -7.840 2.351350 0.271126 1.043 n/a n/a

12 2000.00 1064.15 96.731715 1.0000000000000000 1.000000 -1244174.714289 261.700085 39.990721 135.978256 -301.244838 3104.380299 -10.125 -10.125 2.418854 0.000000 4.165 n/a n/a
