Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
12 2000.00 1367.00 99.725641 47.5408 2.29197 16.4141 0.974904 0 8.29064 0.123106 9.38806 0 0 11.61 2.25193 0.329283 0.257221 0.397167 0.130819
12 500.00 1367.00 99.617581 47.5924 2.29445 16.4319 0.99169 0 8.28548 0.123239 9.39825 0 0 11.6226 2.25438 0.32964 0.2575 0.386708 0.0317996
8 4000.00 1379.00 99.862445 47.4757 2.28883 16.3916 0.952257 0 8.29846 0.122937 9.3752 0 0 11.5941 2.24885 0.328832 0.256869 0.398534 0.267855
12 1000.00 1367.00 99.656978 47.5736 2.29355 16.4254 0.985909 0 8.28706 0.123191 9.39453 0 0 11.618 2.25349 0.32951 0.257398 0.39349 0.0649248
13 2000.00 1364.00 99.725565 47.5409 2.29197 16.4141 0.975486 0 8.29013 0.123106 9.38807 0 0 11.61 2.25194 0.329283 0.257221 0.397166 0.130685
13 500.00 1364.00 99.617601 47.5924 2.29445 16.4319 0.992271 0 8.28496 0.123239 9.39824 0 0 11.6226 2.25438 0.32964 0.2575 0.386706 0.0317622
13 1000.00 1364.00 99.656961 47.5736 2.29355 16.4254 0.986489 0 8.28654 0.123191 9.39453 0 0 11.618 2.25349 0.32951 0.257398 0.393489 0.0648502
9 4000.00 1376.00 99.862347 47.4757 2.28883 16.3916 0.952794 0 8.29799 0.122937 9.37521 0 0 11.5941 2.24885 0.328832 0.256869 0.398535 0.267703
14 1000.00 1361.00 99.656944 47.5736 2.29355 16.4254 0.987082 0 8.28601 0.123191 9.39453 0 0 11.618 2.25349 0.32951 0.257398 0.393488 0.0647754
15 2000.00 1358.00 99.725416 47.5409 2.29197 16.4141 0.976687 0 8.28906 0.123106 9.38808 0 0 11.61 2.25194 0.329284 0.257221 0.397166 0.130416
10 4000.00 1373.00 99.862248 47.4758 2.28883 16.3916 0.953344 0 8.2975 0.122937 9.37522 0 0 11.5941 2.24885 0.328832 0.256869 0.398536 0.267549
15 500.00 1358.00 99.617643 47.5924 2.29445 16.4319 0.993469 0 8.28388 0.123239 9.39824 0 0 11.6226 2.25438 0.32964 0.2575 0.386704 0.0316872
15 1000.00 1358.00 99.656929 47.5736 2.29355 16.4254 0.987688 0 8.28546 0.123191 9.39454 0 0 11.618 2.25349 0.32951 0.257398 0.393487 0.0647003
16 2000.00 1355.00 99.725343 47.541 2.29198 16.4141 0.977306 0 8.28851 0.123106 9.38809 0 0 11.61 2.25194 0.329284 0.257222 0.397166 0.130281
16 500.00 1355.00 99.617666 47.5924 2.29445 16.4319 0.994087 0 8.28332 0.123239 9.39824 0 0 11.6226 2.25437 0.32964 0.2575 0.386703 0.0316496
16 1000.00 1355.00 99.656915 47.5736 2.29355 16.4254 0.988306 0 8.28491 0.123191 9.39454 0 0 11.618 2.25349 0.32951 0.257398 0.393486 0.0646251
17 2000.00 1352.00 99.725270 47.541 2.29198 16.4142 0.977938 0 8.28795 0.123106 9.3881 0 0 11.61 2.25194 0.329284 0.257222 0.397165 0.130146
11 4000.00 1370.00 99.862150 47.4758 2.28884 16.3917 0.953906 0 8.29701 0.122937 9.37523 0 0 11.5941 2.24886 0.328833 0.256869 0.398537 0.267395
17 500.00 1352.00 99.617691 47.5923 2.29445 16.4319 0.994718 0 8.28275 0.123239 9.39824 0 0 11.6226 2.25437 0.32964 0.2575 0.386702 0.0316119
17 1000.00 1352.00 99.656902 47.5736 2.29355 16.4254 0.988937 0 8.28434 0.123191 9.39454 0 0 11.618 2.25349 0.32951 0.257398 0.393485 0.0645496
18 2000.00 1349.00 99.725198 47.541 2.29198 16.4142 0.978583 0 8.28737 0.123106 9.3881 0 0 11.61 2.25194 0.329284 0.257222 0.397165 0.13001
18 500.00 1349.00 99.617717 47.5923 2.29445 16.4319 0.995362 0 8.28217 0.123239 9.39823 0 0 11.6225 2.25437 0.32964 0.2575 0.386701 0.0315741
12 4000.00 1367.00 99.862052 47.4759 2.28884 16.3917 0.954479 0 8.2965 0.122938 9.37524 0 0 11.5941 2.24886 0.328833 0.25687 0.398537 0.267239
19 2000.00 1346.00 99.725128 47.5411 2.29198 16.4142 0.979241 0 8.28679 0.123106 9.38811 0 0 11.61 2.25195 0.329284 0.257222 0.397165 0.129874
