System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
10 4000.00 1373.00 100.205678 0.9981545708968468 0.992453 -1188054.155340 292.329031 37.856163 153.635916 -237.279476 3248.267809 -5.291 0.000 2.662217 0.647289 1.221 n/a n/a
11 4000.00 1370.00 100.094888 0.9982494192571593 0.992835 -1186996.515905 291.775066 37.740233 153.065653 -233.879263 3204.817592 -7.317 0.000 2.666670 0.648011 1.230 n/a n/a
11 4000.00 1370.00 100.141463 0.9982077772951350 0.992670 -1187636.861246 291.896524 37.785037 153.304819 -235.334830 3223.148673 -6.317 0.000 2.665080 0.647993 1.230 n/a n/a
11 4000.00 1370.00 100.205784 0.9981530685837188 0.992453 -1188516.510548 292.049028 37.846637 153.635093 -237.290496 3248.394926 -5.317 0.000 2.662886 0.647970 1.231 n/a n/a
12 4000.00 1367.00 100.141753 0.9997260745853233 0.998875 -1188810.142709 291.280546 37.601292 153.324342 -204.001911 3148.333024 -6.344 0.000 2.665521 0.648618 1.239 n/a n/a
12 4000.00 1367.00 100.141544 0.9982063543351161 0.992670 -1188097.878755 291.616575 37.775557 153.303789 -235.337554 3223.263008 -6.344 0.000 2.665747 0.648676 1.240 n/a n/a
12 4000.00 1367.00 100.095085 0.9997685095390175 0.999049 -1188167.822870 291.159294 37.556454 153.084697 -202.539985 3129.961507 -7.344 0.000 2.667110 0.648636 1.239 n/a n/a
13 4000.00 1364.00 100.141835 0.9997246093893020 0.998870 -1189271.244757 291.000052 37.592042 153.323867 -204.056377 3148.408119 -6.371 0.000 2.666189 0.649303 1.249 n/a n/a
13 4000.00 1364.00 100.062627 0.9982766246771864 0.992954 -1187468.679885 291.124000 37.690161 152.897045 -232.835645 3192.255626 -8.371 0.000 2.669104 0.649393 1.249 n/a n/a
13 4000.00 1364.00 100.095003 0.9982467141820134 0.992836 -1187916.485147 291.215445 37.721327 153.063278 -233.872256 3205.023601 -7.371 0.000 2.668001 0.649380 1.249 n/a n/a
14 4000.00 1361.00 100.206117 0.9981485112024673 0.992453 -1189903.757664 291.205972 37.818072 153.632026 -237.323951 3248.783920 -5.398 0.000 2.664895 0.650025 1.260 n/a n/a
14 4000.00 1361.00 100.095063 0.9982453505801869 0.992836 -1188376.490888 290.934872 37.711876 153.061907 -233.868798 3205.127858 -7.398 0.000 2.668667 0.650067 1.259 n/a n/a
15 4000.00 1358.00 100.062802 0.9997948414986223 0.999159 -1189098.048142 290.226403 37.497612 152.916250 -201.639243 3117.346265 -8.425 0.000 2.670210 0.650711 1.268 n/a n/a
15 4000.00 1358.00 100.142006 0.9997216534626615 0.998860 -1190193.520009 290.437530 37.573546 153.322868 -204.165625 3148.561176 -6.425 0.000 2.667526 0.650679 1.269 n/a n/a
15 4000.00 1358.00 100.095123 0.9982439801993154 0.992836 -1188836.510395 290.653788 37.702426 153.060370 -233.865356 3205.232937 -7.425 0.000 2.669333 0.650757 1.269 n/a n/a
15 4000.00 1358.00 100.062709 0.9982740070224601 0.992955 -1188387.182305 290.562870 37.671292 152.893977 -232.819799 3192.446290 -8.425 0.000 2.670434 0.650770 1.268 n/a n/a
