System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-2.0) rhol rhos viscosity aH2O chisqr
14 1000.00 1361.00 99.999620 1.0000000000000000 1.000000 -1227879.170134 284.994373 37.246281 157.454130 -181.911934 2636.063539 -8.600 0.000 2.684822 0.000000 1.258 n/a n/a

14 7000.00 1371.00 99.996503 1.0000000000000000 1.000000 -1206790.751488 284.370626 36.277677 157.369748 -151.035650 2587.694683 -8.108 0.000 2.756420 0.000000 1.226 n/a n/a
15 10000.00 1386.50 99.995186 1.0000000000000000 1.000000 -1194786.397683 285.069997 35.880654 157.253838 -139.797806 2551.540102 -7.774 0.000 2.786883 0.000000 1.176 n/a n/a
15 7000.00 1370.00 99.996473 0.9990279526203770 0.999160 -1207005.880085 284.239375 36.273127 157.318193 -150.960356 2586.138505 -8.116 0.000 2.756401 3.188478 1.231 n/a n/a
16 10000.00 1386.40 99.995187 1.0000000000000000 1.000000 -1194802.135656 285.060526 35.880400 157.253851 -139.796449 2551.512717 -7.775 0.000 2.786903 0.000000 1.176 n/a n/a
16 7000.00 1371.00 99.996503 1.0000000000000000 1.000000 -1206790.751488 284.370626 36.277677 157.369748 -151.035650 2587.694683 -8.108 0.000 2.756420 0.000000 1.226 n/a n/a
17 4000.00 1352.00 99.997999 0.9976407598372907 0.997980 -1219608.798461 283.243233 36.697224 157.306402 -164.497457 2614.249177 -8.479 0.000 2.724022 3.182151 1.294 n/a n/a

17 7000.00 1370.90 99.996504 1.0000000000000000 1.000000 -1206806.502079 284.361059 36.277419 157.369755 -151.034451 2587.679093 -8.109 0.000 2.756439 0.000000 1.226 n/a n/a
18 1000.00 1349.00 99.999761 1.0000000000000000 1.000000 -1229770.433241 283.834519 37.214775 157.454623 -181.888820 2636.039934 -8.710 0.000 2.687098 0.000000 1.298 n/a n/a
18 4000.00 1355.00 99.998063 1.0000000000000000 1.000000 -1218998.180159 283.619455 36.710229 157.431584 -164.683547 2618.409267 -8.452 0.000 2.723984 0.000000 1.278 n/a n/a

18 7000.00 1370.80 99.996505 1.0000000000000000 1.000000 -1206822.252680 284.351491 36.277162 157.369762 -151.033250 2587.663503 -8.109 0.000 2.756459 0.000000 1.226 n/a n/a
19 10000.00 1386.30 99.995185 0.9999202816013003 0.999930 -1194822.664386 285.048129 35.879997 157.249629 -139.790116 2551.388445 -7.776 0.000 2.786906 3.194543 1.177 n/a n/a
19 7000.00 1370.70 99.996506 1.0000000000000000 1.000000 -1206838.003293 284.341923 36.276904 157.369770 -151.032050 2587.647914 -8.110 0.000 2.756479 0.000000 1.227 n/a n/a
20 4000.00 1353.00 99.998066 0.9995138280676581 0.999584 -1219341.787474 283.408314 36.703945 157.405860 -164.633180 2617.471147 -8.470 0.000 2.724260 3.182021 1.286 n/a n/a

20 7000.00 1370.60 99.996507 1.0000000000000000 1.000000 -1206853.753915 284.332354 36.276646 157.369777 -151.030849 2587.632325 -8.111 0.000 2.756498 0.000000 1.227 n/a n/a
21 1000.00 1340.00 99.999874 1.0000000000000000 1.000000 -1231188.990123 282.959010 37.191153 157.455018 -181.870785 2636.024020 -8.794 0.000 2.688808 0.000000 1.328 n/a n/a

21 7000.00 1370.50 99.996508 1.0000000000000000 1.000000 -1206869.504549 284.322785 36.276388 157.369784 -151.029648 2587.616736 -8.112 0.000 2.756518 0.000000 1.227 n/a n/a
22 1000.00 1337.00 99.999913 1.0000000000000000 1.000000 -1231661.863891 282.666093 37.183281 157.455155 -181.864642 2636.019063 -8.822 0.000 2.689378 0.000000 1.338 n/a n/a
22 7000.00 1370.40 99.996500 0.9997771168610039 0.999807 -1206898.473139 284.305060 36.275678 157.357955 -151.013930 2587.280120 -8.113 0.000 2.756488 3.188426 1.228 n/a n/a

23 1000.00 1334.00 99.999908 0.9989543099821070 0.999114 -1232195.069481 282.334545 37.172934 157.399723 -181.784474 2633.963143 -8.850 0.000 2.689697 3.175293 1.351 n/a n/a
23 7000.00 1370.50 99.996507 0.9999645818580973 0.999969 -1206871.605222 284.321489 36.276316 157.367903 -151.027341 2587.565724 -8.112 0.000 2.756510 3.188414 1.227 n/a n/a

24 4000.00 1353.70 99.998078 1.0000000000000000 1.000000 -1219203.037631 283.493773 36.706839 157.431647 -164.672282 2618.332945 -8.464 0.000 2.724236 0.000000 1.282 n/a n/a
24 1000.00 1337.00 99.999913 1.0000000000000000 1.000000 -1231661.863890 282.666093 37.183281 157.455155 -181.864642 2636.019063 -8.822 0.000 2.689378 0.000000 1.338 n/a n/a
24 7000.00 1370.60 99.996507 1.0000000000000000 1.000000 -1206853.753915 284.332354 36.276646 157.369777 -151.030849 2587.632325 -8.111 0.000 2.756498 0.000000 1.227 n/a n/a
25 4000.00 1353.60 99.998079 1.0000000000000000 1.000000 -1219218.795977 283.484100 36.706578 157.431652 -164.671414 2618.327076 -8.465 0.000 2.724255 0.000000 1.283 n/a n/a

25 1000.00 1336.00 99.999926 1.0000000000000000 1.000000 -1231819.490903 282.568333 37.180657 157.455201 -181.862579 2636.017451 -8.831 0.000 2.689569 0.000000 1.341 n/a n/a
26 4000.00 1353.50 99.998081 1.0000000000000000 1.000000 -1219234.554333 283.474428 36.706317 157.431656 -164.670545 2618.321206 -8.465 0.000 2.724274 0.000000 1.283 n/a n/a
25 10000.00 1378.39 98.900838 0.9963566915426332 0.996823 -1183393.307908 280.946679 35.490816 155.080297 -138.538026 2514.406395 -7.843 0.000 2.785356 3.195776 1.239 n/a n/a
26 1000.00 1335.00 99.999940 1.0000000000000000 1.000000 -1231977.119135 282.470513 37.178033 157.455248 -181.860510 2636.015858 -8.840 0.000 2.689759 0.000000 1.345 n/a n/a
27 4000.00 1353.40 99.998082 1.0000000000000000 1.000000 -1219250.312701 283.464755 36.706057 157.431661 -164.669677 2618.315337 -8.466 0.000 2.724294 0.000000 1.283 n/a n/a
26 7000.00 1368.60 99.996378 0.9964087845813207 0.996894 -1207381.846752 284.009317 36.264202 157.179126 -150.773320 2582.143973 -8.129 0.000 2.756097 3.188676 1.243 n/a n/a
27 1000.00 1334.00 99.999908 0.9989543099819211 0.999114 -1232195.069480 282.334545 37.172934 157.399723 -181.784474 2633.963143 -8.850 0.000 2.689697 3.175293 1.351 n/a n/a

28 4000.00 1353.30 99.998083 1.0000000000000000 1.000000 -1219266.071080 283.455081 36.705796 157.431666 -164.668807 2618.309468 -8.467 0.000 2.724313 0.000000 1.284 n/a n/a
29 4000.00 1353.20 99.998079 0.9998892794782074 0.999905 -1219288.308047 283.441365 36.705292 157.425791 -164.660417 2618.116703 -8.468 0.000 2.724307 3.181997 1.284 n/a n/a
27 10000.00 1374.39 98.187637 0.9964260392051104 0.996885 -1175606.096770 278.476260 35.244730 153.793111 -137.890657 2493.527652 -7.878 0.000 2.784598 3.196493 1.270 n/a n/a
30 4000.00 1353.30 99.998083 1.0000000000000000 1.000000 -1219266.071080 283.455081 36.705796 157.431666 -164.668807 2618.309468 -8.467 0.000 2.724313 0.000000 1.284 n/a n/a
29 1000.00 1334.90 99.999941 1.0000000000000000 1.000000 -1231992.882025 282.460728 37.177770 157.455252 -181.860303 2636.015699 -8.841 0.000 2.689778 0.000000 1.345 n/a n/a
28 10000.00 1372.39 97.838069 0.9964598406603210 0.996915 -1171791.692510 277.263512 35.124075 153.162155 -137.574031 2483.283677 -7.895 0.000 2.784226 3.196875 1.286 n/a n/a
31 4000.00 1353.30 99.998083 1.0000000000000000 1.000000 -1219266.071082 283.455081 36.705796 157.431666 -164.668807 2618.309468 -8.467 0.000 2.724313 0.000000 1.284 n/a n/a
30 1000.00 1334.80 99.999942 1.0000000000000000 1.000000 -1232008.644928 282.450942 37.177508 157.455257 -181.860095 2636.015541 -8.842 0.000 2.689797 0.000000 1.345 n/a n/a
29 7000.00 1362.59 98.904682 0.9963505663539158 0.996846 -1195338.428731 280.226963 35.884533 155.198769 -149.745431 2548.344081 -8.182 0.000 2.754821 3.189600 1.291 n/a n/a
32 4000.00 1351.30 99.997952 0.9963412241838613 0.996867 -1219794.265850 283.128504 36.692559 157.237372 -164.403446 2612.012408 -8.485 0.000 2.723856 3.182248 1.300 n/a n/a

32 1000.00 1334.60 99.999945 1.0000000000000000 1.000000 -1232040.170770 282.431368 37.176983 157.455266 -181.859680 2636.015226 -8.844 0.000 2.689835 0.000000 1.346 n/a n/a
30 7000.00 1360.58 98.545083 0.9963856237469637 0.996878 -1191366.509681 278.983280 35.759606 154.549231 -149.411969 2537.284123 -8.200 0.000 2.754405 3.189939 1.307 n/a n/a
30 10000.00 1368.38 97.152512 0.9965258093254419 0.996974 -1164316.023779 274.881404 34.887379 151.924677 -136.954394 2463.173466 -7.930 0.000 2.783493 3.197685 1.318 n/a n/a
33 1000.00 1334.50 99.999942 0.9998948926574084 0.999911 -1232062.000175 282.417750 37.176472 157.449686 -181.852033 2635.808928 -8.845 0.000 2.689829 3.175234 1.347 n/a n/a
31 7000.00 1358.58 98.190252 0.9964200728284531 0.996908 -1187448.826836 277.754795 35.636310 153.908260 -149.083541 2526.366141 -8.217 0.000 2.753994 3.190295 1.323 n/a n/a
31 10000.00 1366.38 96.816340 0.9965580181303703 0.997003 -1160652.770704 273.711462 34.771278 151.317835 -136.651196 2453.302296 -7.947 0.000 2.783133 3.198113 1.334 n/a n/a
34 4000.00 1347.31 99.264743 0.9963224217817780 0.996852 -1211605.069417 280.594527 36.435871 155.907356 -163.705626 2587.980070 -8.522 0.000 2.722921 3.182824 1.332 n/a n/a
32 7000.00 1356.58 97.840088 0.9964539375335398 0.996938 -1183584.261603 276.541187 35.514612 153.275678 -148.760037 2515.587189 -8.235 0.000 2.753587 3.190667 1.339 n/a n/a
35 4000.00 1345.32 98.901035 0.9963580545465603 0.996883 -1207538.512951 279.339551 36.308666 155.249902 -163.364022 2576.132371 -8.540 0.000 2.722460 3.183137 1.348 n/a n/a

33 7000.00 1354.57 97.494491 0.9964872408514620 0.996968 -1179771.738109 275.342144 35.394479 152.651316 -148.441352 2504.944433 -8.253 0.000 2.753184 3.191054 1.355 n/a n/a
36 4000.00 1343.32 98.542189 0.9963930437371726 0.996914 -1203527.836218 278.100034 36.183137 154.601182 -163.027835 2564.440358 -8.558 0.000 2.722005 3.183465 1.364 n/a n/a
33 10000.00 1362.38 96.156773 0.9966209825044927 0.997060 -1153470.726463 271.412425 34.543424 150.127194 -136.057591 2433.916144 -7.982 0.000 2.782424 3.199016 1.365 n/a n/a
34 7000.00 1352.57 97.153369 0.9965200048564453 0.996997 -1176010.221281 274.157370 35.275878 152.035009 -148.127385 2494.435144 -8.271 0.000 2.752785 3.191458 1.371 n/a n/a
37 1000.00 1330.59 99.633498 0.9962629036042946 0.996834 -1228432.255048 280.833474 37.033733 156.592152 -181.245380 2615.836637 -8.882 0.000 2.688803 3.175748 1.379 n/a n/a
37 4000.00 1341.32 98.188100 0.9964274150454632 0.996945 -1199571.853304 276.875638 36.059250 153.961010 -162.696947 2552.900707 -8.577 0.000 2.721553 3.183810 1.381 n/a n/a

35 7000.00 1350.57 96.816628 0.9965522507413838 0.997026 -1172298.715014 272.986575 35.158780 151.426600 -147.818036 2484.056694 -8.289 0.000 2.752390 3.191878 1.387 n/a n/a
38 1000.00 1328.59 99.262501 0.9962999041741905 0.996866 -1224231.330608 279.556748 36.903126 155.921019 -180.898610 2602.901828 -8.901 0.000 2.688284 3.176035 1.396 n/a n/a
35 10000.00 1358.37 95.513702 0.9966821305503240 0.997115 -1146475.422323 269.166123 34.321186 148.966332 -135.480478 2414.990294 -8.017 0.000 2.781730 3.199981 1.397 n/a n/a
36 7000.00 1348.56 96.484183 0.9965839988478654 0.997054 -1168636.260429 271.829483 35.043155 150.825935 -147.513212 2473.806551 -8.307 0.000 2.751999 3.192313 1.403 n/a n/a
39 1000.00 1326.59 98.896566 0.9963362001535840 0.996898 -1220089.192923 278.296055 36.774279 155.258972 -180.557817 2590.141849 -8.920 0.000 2.687771 3.176340 1.412 n/a n/a
39 4000.00 1337.33 97.493782 0.9964944017612661 0.997004 -1191819.454420 274.470933 35.816260 152.705600 -162.050608 2530.265823 -8.614 0.000 2.720664 3.184547 1.413 n/a n/a
37 7000.00 1346.56 96.155948 0.9966152686906179 0.997082 -1165021.934199 270.685826 34.928974 150.232869 -147.212820 2463.682278 -8.325 0.000 2.751612 3.192765 1.419 n/a n/a

40 1000.00 1324.58 98.535575 0.9963718201832700 0.996929 -1216004.541340 277.051034 36.647151 154.605808 -180.222865 2577.552807 -8.939 0.000 2.687262 3.176660 1.429 n/a n/a
40 4000.00 1335.34 97.153360 0.9965270636371478 0.997032 -1188020.889602 273.290013 35.697092 152.090027 -161.734938 2519.164556 -8.632 0.000 2.720225 3.184941 1.430 n/a n/a
