Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
20 7000.00 1370.60 99.996507 48.7382 0.570799 14.5704 0.503274 0 7.11745 14.8308 11.7464 1.5021 0.0801121 0 0.20028
21 1000.00 1340.00 99.999874 48.7366 0.57078 14.5699 0.536863 0 7.08697 14.8303 11.746 1.50205 0.0801094 0 0.2002747
21 7000.00 1370.50 99.996508 48.7382 0.570799 14.5704 0.503284 0 7.11744 14.8308 11.7464 1.5021 0.0801121 0 0.20028
22 4000.00 1353.90 99.998076 48.7374 0.57079 14.5702 0.518925 0 7.10325 14.8305 11.7463 1.50208 0.0801109 0 0.200277
22 7000.00 1370.40 99.974212 48.74 0.570926 14.5736 0.503315 0 7.11718 14.8233 11.7489 1.50244 0.08013 0 0.2003251013
23 4000.00 1353.80 99.998077 48.7374 0.57079 14.5702 0.518937 0 7.10324 14.8305 11.7463 1.50208 0.0801109 0 0.200277
23 10000.00 1382.40 99.263330 48.7985 0.575015 14.678 0.491077 0 7.11949 14.5847 11.8298 1.5132 0.0807038 0 0.201767
24 4000.00 1353.70 99.998078 48.7374 0.57079 14.5702 0.518949 0 7.10323 14.8305 11.7463 1.50208 0.0801109 0 0.200277
24 1000.00 1337.00 99.999913 48.7365 0.570779 14.5699 0.537254 0 7.08662 14.8302 11.746 1.50205 0.0801094 0 0.200273
24 7000.00 1370.60 99.996507 48.7382 0.570799 14.5704 0.503274 0 7.11745 14.8308 11.7464 1.5021 0.0801121 0 0.20028
25 4000.00 1353.60 99.998079 48.7374 0.57079 14.5702 0.518961 0 7.10321 14.8305 11.7463 1.50208 0.0801109 0 0.200277
25 1000.00 1336.00 99.999926 48.7365 0.570779 14.5699 0.537386 0 7.0865 14.8302 11.746 1.50205 0.0801094 0 0.200273
26 4000.00 1353.50 99.998081 48.7374 0.57079 14.5702 0.518973 0 7.1032 14.8305 11.7463 1.50208 0.0801108 0 0.200277
25 10000.00 1378.39 98.540512 48.8583 0.579233 14.7857 0.492022 0 7.1089 14.3379 11.9133 1.5243 0.0812958 0 0.20324
26 1000.00 1335.00 99.999940 48.7365 0.570779 14.5699 0.537519 0 7.08638 14.8302 11.746 1.50205 0.0801094 0 0.200273
27 4000.00 1353.40 99.998082 48.7374 0.57079 14.5702 0.518984 0 7.10319 14.8305 11.7463 1.50208 0.0801108 0 0.200277
26 7000.00 1368.60 99.637270 48.7673 0.572857 14.6229 0.503799 0 7.11306 14.7102 11.787 1.50752 0.080401 0 0.201002
27 1000.00 1334.00 99.895340 48.7449 0.571377 14.5851 0.53777 0 7.08539 14.7951 11.7577 1.50362 0.0801932 0 0.200483
28 4000.00 1353.30 99.998083 48.7374 0.57079 14.5702 0.518996 0 7.10318 14.8305 11.7463 1.50208 0.0801108 0 0.200277
