CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[16224],OCEAN ISLAND,AZORES / SAO JORGE,,38.55,38.55,-28.08,-28.08,SAE,,,s_PK92-SJ20 [16224],"BASALT, ALKALINE [16224]",,,,,,,,,VOL,,,,,WR [16224] ,47.9,3.23,,16.43,,,,11.02,8.82,6.68,0.18,5.15,1.48,3.67,0.76,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,201,98,,,41,75,30,97,25,,,,,31.8,687,37.2,336,55.9,,,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0.703531,,,,,,,,,,,,,,,,,,,,,603357
[16224],OCEAN ISLAND,AZORES / SAO JORGE,,38.55,38.55,-28.08,-28.08,SAE,,,s_PK92-SJ21 [16224],"BASALT, ALKALINE [16224]",,,,,,,,,VOL,,,,,WR [16224] ,45.19,3.73,,16.03,,,,11.72,10.41,7.99,0.17,4.14,1.07,3.07,0.55,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,257,148,,,47,96,41,91,22,,,,,20.8,681,30.5,242,41.9,,,,,,,,,,,,,270,28.8,64.5,,35,7.68,2.59,,1.08,,,,,2.28,0.32,5.42,2.96,,,,,,,,,5,,2.59,0.87,,,,0.70349,,,,,,,,,,,,,,,,,,,,,603358
[16224],OCEAN ISLAND,AZORES / SAO JORGE,,38.55,38.55,-28.08,-28.08,SAE,,,s_PK92-SJ22 [16224],"BASALT, ALKALINE [16224]",,,,,,,,,VOL,,,,,WR [16224] ,45.97,3.75,,17.77,,,,11.13,9.71,5.54,0.17,4.8,1.33,3.47,0.68,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,244,57,,,43,40,33,96,24,,,,,27.7,807,34.2,316,53.4,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.703462,,,,,,,,,,,,,,,,,,,,,603359
[16224],OCEAN ISLAND,AZORES / SAO JORGE,,38.55,38.55,-28.08,-28.08,SAE,,,s_PK92-SJ23 [16224],"BASALT, ALKALINE [16224]",,,,,,,,,VOL,,,,,WR [16224] ,46.14,3.71,,17.29,,,,11.42,9.09,5.58,0.17,5.18,1.45,3.73,0.72,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,252,47,,,42,31,31,96,25,,,,,31,810,34.1,321,55.5,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,603360
[16224],OCEAN ISLAND,AZORES / SAO JORGE,,38.55,38.55,-28.08,-28.08,SAE,,,s_PK92-SJ24 [16224],"BASALT, ALKALINE [16224]",,,,,,,,,VOL,,,,,WR [16224] ,46.14,3.79,,17.32,,,,11.53,9.18,5.71,0.17,5.18,1.43,3.75,0.73,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,251,45,,,42,29,33,92,24,,,,,29.3,821,36.6,317,55.4,,,,,,,,,,,,,344,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.703462,,,,,,,,,,,,,,,,,,,,,603361
[16224],OCEAN ISLAND,AZORES / SAO JORGE,,38.55,38.55,-28.08,-28.08,SAE,,,s_PK92-SJ25 [16224],"BASALT, ALKALINE [16224]",,,,,,,,,VOL,,,,,WR [16224] ,46.14,3.57,,17.31,,,,11.95,8.85,5.38,0.19,5.3,1.43,3.87,0.92,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,217,29,,,43,21,28,96,25,,,,,30.5,835,37.7,333,57.9,,,,,,,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,603362
[16224],OCEAN ISLAND,AZORES / SAO JORGE,,38.55,38.55,-28.08,-28.08,SAE,,,s_PK92-SJ27 [16224],"BASALT, ALKALINE [16224]",,,,,,,,,VOL,,,,,WR [16224] ,47.77,3.11,,17.13,,,,10.84,8.31,4.62,0.19,6.03,1.69,4.34,1.06,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,195,35,,,39,26,24,106,25,,,,,34.9,848,42,381,69.6,,,,,,,,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,603363
[16224],OCEAN ISLAND,AZORES / SAO JORGE,,38.55,38.55,-28.08,-28.08,SAE,,,s_PK92-SJ28 [16224],"BASALT, ALKALINE [16224]",,,,,,,,,VOL,,,,,WR [16224] ,46.98,3.47,,17.26,,,,11.3,8.77,5.32,0.18,5.63,1.54,4.09,0.88,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,221,30,,,40,21,25,97,26,,,,,33.5,830,38.2,352,62,,,,,,,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,0.703451,,,,,,,,,,,,,,,,,,,,,603364
[16224],OCEAN ISLAND,AZORES / SAO JORGE,,38.55,38.55,-28.08,-28.08,SAE,,,s_PK92-SJ29 [16224],"BASALT, ALKALINE [16224]",,,,,,,,,VOL,,,,,WR [16224] ,47.75,3.1,,17.14,,,,10.85,8.29,4.6,0.2,6.06,1.72,4.34,1.07,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,177,23,,,38,15,20,110,26,,,,,36,855,44.8,409,72.4,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,603365
[16224],OCEAN ISLAND,AZORES / SAO JORGE,,38.55,38.55,-28.08,-28.08,SAE,,,s_PK92-SJ32 [16224],"BASALT, ALKALINE [16224]",,,,,,,,,VOL,,,,,WR [16224] ,45.91,3.52,,17.58,,,,11.04,9.69,5.99,0.17,4.78,1.29,3.49,0.71,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,221,70,,,41,45,29,97,25,,,,,26.1,852,34.6,306,55.4,,,,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,0.703481,,,,,,,,,,,,,,,,,,,,,603366
