CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[656],OCEAN ISLAND,AZORES / CORVO,,39.58,39.58,-31.13,-31.13,SAE,,,s_C-1 [656],"BASALT, ALKALINE [656]",,,,,,,,,VOL,,,,,WR [656] ,47.7,3.01,,17.41,,4.34,6.8,,8.38,4.34,0.22,6.4,1.9,4.5,1.06,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,2.6,,,26,27,,,,,,,,53.3,929,,,,,,,,,,,,,,,0.678,603,71.7,134.3,,58.3,10.2,3.1,,1.2,,,,,3,0.41,7.9,8.3,,,,,,,,,,,9.5,,,,,0.70332,,,,,,,,,,,,,,,,,,,,,13856
[656],OCEAN ISLAND,AZORES / CORVO,,39.58,39.58,-31.13,-31.13,SAE,,,s_C-2 [656],"BASALT, ALKALINE [656]",,,,,,,,,VOL,,,,,WR [656] ,47.55,2.91,,17.47,,4.79,6.18,,9.5,5.11,0.2,5.35,1.76,3.59,0.67,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,3.6,,,36,29,,,,,,,,44.6,711,,,,,,,,,,,,,,,0.769,642,63.5,125.3,,53.4,10.5,3.1,,1.1,,,,,2.7,0.39,6.7,7.3,,,,,,,,,,,7.3,,,,,0.70338,,,,,,,,,,,,,,,,,,,,,13857
[1320],OCEAN ISLAND,AZORES / CORVO,PESQUEIRO ALTO,39.58,39.58,-31.13,-31.13,SAE,,,s_122 [1320],"BASALT, OLIVINE [1320]",,,,,,,,,VOL,,,,,WR [1320] ,45.58,2.67,,13.89,,,6.6,,14.03,10.53,0.17,3.12,0.77,2.35,0.11,,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15947
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.6802,39.6802,-31.0963,-31.0963,SAE,2,2,s_C-09-04 [16341],"TRACHYANDESITE, BASALTIC [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,52.86,1.72,,18.03,,,,9.02,6.11,2.18,0.24,8.55,2.54,6.01,0.67,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,,,,22.1,,7.2,115.1,,,,,,69.1,760.7,38.6,360,121.1,4.9,,,,,,,,,,,,791.3,,138.7,,,,,,,,,,,,,,,,,,,,,,,4,,12.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,612284
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.7137,39.7137,-31.1061,-31.1061,SAE,408,408,s_C-09-11 [16341],"TRACHYANDESITE, BASALTIC [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,49.81,2.68,,16.88,,,,9.55,6.93,3.7,0.21,7.57,2.62,4.95,0.86,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,31.7,5.5,19.5,98,,,,,,58.9,735.2,37.9,329.2,112.8,3.3,,,,,,,,,,,,568.2,,121.4,,,,,,,,,,,,,,,,,,,,,,,3.7,,11,3.1,,,,,,,,,,,,,,,,,,,,,,,,,612291
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.7081,39.7081,-31.0983,-31.0983,SAE,555,555,s_C-09-12 [16341],TEPHRITE [16341],80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,43.73,2.63,,18.56,,,,10.6,11.57,4.81,0.17,3.86,0.9,2.96,0.51,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.2,,,,46.9,45.8,96.6,92.2,,,,,,14.8,677.6,27.2,179.9,58.7,1.5,,,,,,,,,,,,469.8,,75.6,,,,,,,,,,,,,,,,,,,,,,,1.7,,6.8,3,,,,,,,,,,,,,,,,,,,,,,,,,612292
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.7009,39.7009,-31.098,-31.098,SAE,484,484,s_C-09-14 [16341],"BASALT, ALKALINE [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,44.49,2.59,,17.22,,,,10.1,12.05,5.66,0.17,4.19,1.04,3.15,0.53,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,42,48.7,145.9,78.3,,,,,,20.5,668.4,29.1,201.2,63.6,2,,,,,,,,,,,,478.4,,74.6,,,,,,,,,,,,,,,,,,,,,,,1.8,,7.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,612294
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.6999,39.6999,-31.0985,-31.0985,SAE,482,482,s_C-09-15A [16341],"BASALT, ALKALINE [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,44.49,2.09,,13.06,,,,10.23,13.08,11.14,0.17,3.26,0.53,2.73,0.33,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,336.43,1069.41,,,69.25,298.04,174.27,87.45,,,,,,4.43,605.89,25.64,159.56,51.9,1,,,,,,,,,,,0.14,333.38,31.32,59.58,7.3,28.6,5.91,1.91,5.44,0.77,4.27,0.76,2.05,,1.59,0.21,3.51,4.02,,,,,,,,,1.62,,3.08,0.77,,,,,,,,,,,,,,,,,,,,,,,,,612295
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.6999,39.6999,-31.0985,-31.0985,SAE,482,482,s_C-09-15B [16341],"TRACHYANDESITE, BASALTIC [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,44.12,2.01,,12.62,,,,9.92,12.71,11.29,0.16,3.84,0.8,3.04,0.31,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.6,,,,52.5,223.7,127.4,66.4,,,,,,11.1,385.2,24.1,119.1,34,0.9,,,,,,,,,,,,268.6,,44.5,,,,,,,,,,,,,,,,,,,,,,,3.4,,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,612296
[16341][19965],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.7128,39.7128,-31.1079,-31.1079,SAE,412,412,s_C-09-08 [16341],"TRACHYANDESITE, BASALTIC [16341] / NOT GIVEN [19965]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,48.5,2.97,,16.34,,,,10.19,6.34,3.27,0.19,6.83,2.67,4.16,0.94,,,,,,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,171.81,24.01,,,25.25,17.09,41.96,121.12,,,,,,61.49,693.88,38.59,346.73,124.35,2.2,,,,,,,,,,,0.4,573.3,63.45,118.5,14.23,52.06,9.78,2.88,8.52,1.2,6.31,1.19,3.14,,2.54,0.33,6.52,7.42,,,,,,,,,5.1,,8.59,2.13,0.512931,,,0.70334,,19.7646,,15.6146,,39.4234,,,,,,,,0.283036,,,,,,,90990-C-09-08
[16341],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.7081,39.7081,-31.1029,-31.1029,SAE,460,460,s_C-09-10 [16341],THOLEIITE [16341],80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,46.55,1.33,,7.6,,,,8.19,14.92,18.18,0.15,1.45,0.37,1.08,0.2,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.51,,281.68,2529.55,,,76.97,595.42,172.16,64.31,,,,,,7.1,271.78,16.99,94.56,31.18,0.51,,,,,,,,,,,0.14,181.88,17.63,36.61,4.5,18.28,3.95,1.22,3.66,0.47,2.85,0.47,1.31,,0.98,0.12,2.31,2.2,,,,,,,,,0.83,,1.9,0.52,,,,,,,,,,,,,,,,,,,,,,,,,90992-C-09-10
[16341][19965],OCEAN ISLAND,AZORES / CORVO / CALDERA STAGE,,39.7051,39.7051,-31.0982,-31.0982,SAE,546,546,s_C-09-13 [16341],THOLEIITE [16341] / NOT GIVEN [19965],80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,46.07,1.5,,10.12,,,,8.38,14.61,15.52,0.14,1.99,0.48,1.51,0.25,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.86,,263.63,1413.69,,,59.4,356.05,114.3,53.55,,,,,,9.66,292.81,16.44,98.39,30.17,0.7,,,,,,,,,,,0.09,191.09,19.27,37.05,4.65,18.5,3.89,1.21,3.65,0.5,2.87,0.5,1.36,,1.06,0.09,2.3,1.69,,,,,,,,,0.85,,2.05,0.55,0.512938,,,0.7035,,19.7436,,15.6208,,39.4174,,,,,,,,0.283096,,,,,,,90995-C-09-13
[17181],OCEAN ISLAND,AZORES / CORVO / POST-CALDERA STAGE,,39.7001,39.7001,-31.0985,-31.0985,SAE,,,s_COR 20 [17181],TEPHRITE [17181],,,,,,,,PORPHYRITIC [17181] ,VOL,,,,,WR [17181] ,44.74,2.09,,13.49,,,,10.3,12.91,11.11,0.17,2.47,0.49,1.98,0.29,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,272,786,,,58,212,124,87,16,,,,,6,464,19.8,114,38.5,0,,,,,,,1,,,,0.8,299,29.9,54.6,6.34,26.6,5.34,1.9,4.76,0.73,4.19,0.75,1.97,0.27,1.73,0.24,3.5,2.69,,,,,,,,,0,,3.26,0.79,,,,,,,,,,,,,,,,,,,,,,,,,668437
[17181],OCEAN ISLAND,AZORES / CORVO / POST-CALDERA STAGE,,39.7005,39.7005,-31.0984,-31.0984,SAE,,,s_COR 21 [17181],BASALT [17181],,,,,,,,PORPHYRITIC [17181] ,VOL,,,,,WR [17181] ,45.13,2.96,,16.73,,,,11.28,11.75,5.33,0.19,4.02,1.46,2.56,0.55,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,319,0,,,40,44,143,94,21,,,,,37,681,28.4,209,73.1,2,,,,,,,1,,,,0.3,531,54.4,102.2,10.76,43.5,8.38,2.78,6.66,1.05,6.12,1.05,2.84,0.41,2.49,0.34,5.4,5.14,,,,,,,,,0,,6.54,1.59,,,,,,,,,,,,,,,,,,,,,,,,,668438
[17181],OCEAN ISLAND,AZORES / CORVO / POST-CALDERA STAGE,,39.7011,39.7011,-31.0979,-31.0979,SAE,,,s_COR 31 [17181],TEPHRITE [17181],,,,,,,,PORPHYRITIC [17181] ,VOL,,,,,WR [17181] ,42.07,2.95,,15.17,,,,11.82,10.91,6.3,0.19,4.53,1.13,3.4,0.51,,,,,,,,,,,,,,,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,386,119,,,46,76,83,102,21,,,,,34,633,26.8,175,71.9,2,,,,,,,1,,,,0.3,429,50.5,94.7,10.21,40.8,7.85,2.68,6.52,0.98,5.75,0.99,2.7,0.37,2.35,0.32,5,4.84,,,,,,,,,0,,6.17,1.46,,,,,,,,,,,,,,,,,,,,,,,,,668439
[17181],OCEAN ISLAND,AZORES / CORVO / POST-CALDERA STAGE,,39.7011,39.7011,-31.0979,-31.0979,SAE,,,s_COR 31/R [17181],TEPHRITE [17181],,,,,,,,PORPHYRITIC [17181] ,VOL,,,,,WR [17181] ,42.42,2.97,,15.26,,,,11.9,10.99,6.35,0.19,4.6,1.18,3.42,0.5,,,,,,,,,,,,,,,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,406,110,,,45,76,81,104,21,,,,,33,635,25.7,175,69.5,2,,,,,,,1,,,,0.3,432,48.9,91.7,9.95,40,7.59,2.59,6.27,0.97,5.61,0.98,2.66,0.36,2.3,0.32,4.8,4.66,,,,,,,,,0,,6.03,1.42,,,,,,,,,,,,,,,,,,,,,,,,,668440
[17181],OCEAN ISLAND,AZORES / CORVO / POST-CALDERA STAGE,,39.7132,39.7132,-31.1064,-31.1064,SAE,,,s_COR 22 [17181],TRACHYBASALT [17181],,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,49.34,2.77,,17.04,,,,9.71,7.27,3.9,0.21,6.6,2.43,4.17,0.85,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,153,0,,,23,0,30,113,22,,,,,57,726,33.6,278,107.1,2,,,,,,,3,,,,0.4,571,74.5,139.1,14.9,59.3,10.92,3.36,8.64,1.3,7.46,1.28,3.49,0.48,3.13,0.41,7.1,7.38,,,,,,,,,0,,9.39,2.26,,,,,,,,,,,,,,,,,,,,,,,,,668441
[17181],OCEAN ISLAND,AZORES / CORVO / POST-CALDERA STAGE,,39.6768,39.6768,-31.1149,-31.1149,SAE,,,s_COR 51 [17181],TRACHYBASALT [17181],,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,47.52,3.15,,16.67,,,,10.79,8.3,4.4,0.22,6.42,1.77,4.65,1.08,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,162,0,,,19,0,20,98,21,,,,,53,867,36.6,278,101,3,,,,,,,2,,,,0.2,557,69.8,132.9,15.27,57.5,11.01,3.13,9.32,1.38,7.43,1.42,3.54,0.5,3.04,0.5,7,7.88,,,,,,,,,3,,8.99,2.3,,,,,,,,,,,,,,,,,,,,,,,,,668442
[17181],OCEAN ISLAND,AZORES / CORVO / POST-CALDERA STAGE,,39.682,39.682,-31.1135,-31.1135,SAE,,,s_COR 5 [17181],TRACHYBASALT [17181],,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,47.63,3.13,,17.03,,,,10.82,8.17,4.31,0.22,5.77,1.8,3.97,1.03,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,189,0,,,25,35,17,127,23,,,,,62,888,39.5,310,132.7,0,,,,,,,3,,,,0.3,580,86.1,152.5,16.09,62.8,11.37,3.32,9.05,1.41,8.01,1.41,3.93,0.56,3.59,0.49,8.3,9.94,,,,,,,,,0,,13.03,2.97,,,,,,,,,,,,,,,,,,,,,,,,,668443
[17181],OCEAN ISLAND,AZORES / CORVO / POST-CALDERA STAGE,,39.6843,39.6843,-31.1156,-31.1156,SAE,,,s_COR 54 [17181],TRACHYBASALT [17181],,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,47.5,3.18,,16.79,,,,10.87,8.3,4.39,0.23,6.09,1.78,4.31,1.1,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,159,0,,,20,0,20,102,21,,,,,51,862,36.5,281,102.5,2,,,,,,,2,,,,0.1,559,71.1,134.2,15.53,58.8,10.84,3.16,9.46,1.41,7.45,1.45,3.6,0.53,3.22,0.51,7.1,8.16,,,,,,,,,3,,9.47,2.43,,,,,,,,,,,,,,,,,,,,,,,,,668444
[16341],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.6766,39.6766,-31.1025,-31.1025,SAE,4,4,s_C-09-03 [16341],"BASALT, ALKALINE [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,45.48,1.8,,11.26,,,,8.67,14.51,12.25,0.15,4.08,0.76,3.32,0.3,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.3,,,,60.8,215.1,128.1,61.2,,,,,,16.6,377.8,19.3,115.8,34.7,1.5,,,,,,,,,,,,249.8,,49.5,,,,,,,,,,,,,,,,,,,,,,,0.7,,4.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,612283
[16341],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.7086,39.7086,-31.1038,-31.1038,SAE,430,430,s_C-09-09 [16341],"BASALT, ALKALINE [16341]",80000 [16341],1500000 [16341],,,,,,,VOL,,,,,WR [16341] ,45.11,2.7,,15.38,,,,10.82,11.99,6.7,0.18,4.91,1.27,3.64,0.51,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.2,,,,52.7,80.6,55.1,87.1,,,,,,31.3,625,28.2,190.3,64.8,3,,,,,,,,,,,,465,,79.8,,,,,,,,,,,,,,,,,,,,,,,1.5,,7.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,612289
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.6843,39.6843,-31.119,-31.119,SAE,,,s_COR 23 [17181],"TRACHYANDESITE, BASALTIC [17181]",,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,51.74,2.19,,17.25,,,,8.33,6.55,3.15,0.22,7.57,2.5,5.07,0.84,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,104,0,,,12,0,0,121,23,,,,,70,718,40.1,314,127.5,3,,,,,,,4,,,,0.5,817,90.2,162.9,17.06,65.9,11.6,3.73,9.11,1.43,8.37,1.45,4.16,0.59,3.65,0.52,7.8,8.62,,,,,,,,,5,,11.3,2.66,,,,,,,,,,,,,,,,,,,,,,,,,668414
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.6842,39.6842,-31.1189,-31.1189,SAE,,,s_COR 24 [17181],TRACHYBASALT [17181],,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,47.55,2.89,,16.09,,,,10.38,8.98,5.3,0.21,5.59,1.83,3.76,0.7,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,222,47,,,27,53,60,106,21,,,,,49,738,33,232,93.2,3,,,,,,,1,,,,0.3,613,70.3,128.1,13.52,53.2,9.78,3.27,7.89,1.22,7.14,1.25,3.41,0.48,2.97,0.41,6.1,6.49,,,,,,,,,0,,8.3,2.03,,,,,,,,,,,,,,,,,,,,,,,,,668415
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.6842,39.6842,-31.1189,-31.1189,SAE,,,s_COR 25 [17181],BASALT [17181],,,,,,,,PORPHYRITIC [17181] ,VOL,,,,,WR [17181] ,45.66,1.68,,10.13,,,,9.22,13.98,15.22,0.15,2.21,0.61,1.6,0.24,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,251,1200,,,56,324,181,67,12,,,,,19,330,15.1,96,30.4,0,,,,,,,0,,,,0.2,204,21.5,41.9,4.75,20.2,4.14,1.42,3.58,0.55,3.25,0.58,1.54,0.2,1.23,0.17,2.7,1.99,,,,,,,,,0,,2.52,0.58,,,,,,,,,,,,,,,,,,,,,,,,,668416
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.674,39.674,-31.1065,-31.1065,SAE,,,s_COR 35 [17181],BASALT [17181],,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,45.95,2.88,,16.16,,,,11.94,11.21,5.55,0.2,4.47,1.31,3.16,0.52,,,,,,,,,,,,,,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,378,0,,,45,54,68,109,22,,,,,35,663,27.8,191,69.5,2,,,,,,,6,,,,0.3,481,50.8,94.5,10.42,42.4,8.18,2.73,6.94,1.05,6.08,1.05,2.83,0.38,2.4,0.32,5.2,4.83,,,,,,,,,0,,6.48,1.57,,,,,,,,,,,,,,,,,,,,,,,,,668417
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.6712,39.6712,-31.1113,-31.1113,SAE,,,s_COR 11 [17181],TRACHYBASALT [17181],,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,48.36,3.02,,16.89,,,,10.53,8.01,4.08,0.23,6.48,1.96,4.52,1.06,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,170,0,,,23,31,15,128,22,,,,,70,864,39.5,317,133,2,,,,,,,3,,,,0.9,590,87.7,155.5,16.45,64.8,11.67,3.48,9.12,1.44,8.11,1.45,4.09,0.58,3.69,0.48,8.6,10.08,,,,,,,,,7,,13.33,3.06,,,,,,,,,,,,,,,,,,,,,,,,,668418
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.6717,39.6717,-31.111,-31.111,SAE,,,s_COR 50 [17181],TRACHYBASALT [17181],,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,48.08,3,,16.82,,,,10.53,8.02,4.18,0.23,6.59,1.83,4.76,1.11,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,153,0,,,18,0,17,106,21,,,,,63,848,37.9,310,113.8,3,,,,,,,2,,,,0.2,556,75.6,140.7,15.93,60.1,10.84,3.06,9.33,1.41,7.63,1.48,3.75,0.55,3.31,0.53,7.6,8.78,,,,,,,,,4,,10.7,2.71,,,,,,,,,,,,,,,,,,,,,,,,,668419
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.6738,39.6738,-31.1073,-31.1073,SAE,,,s_COR 55 [17181],BASALT [17181],,,,,,,,PORPHYRITIC [17181] ,VOL,,,,,WR [17181] ,45.49,2.36,,13.39,,,,10.5,12.61,10.02,0.18,3.3,0.9,2.4,0.4,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,279,323,,,44,140.95,89.22,76,17,,,,,21,483,21.1,147,45.4,2,,,,,,,0,,,,0.1,344,33.2,64.1,7.76,30.3,6.16,1.92,5.67,0.84,4.74,0.89,2.17,0.31,1.82,0.27,4.1,3.5,,,,,,,,,1.14,,4.02,0.98,,,,,,,,,,,,,,,,,,,,,,,,,668420
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.6738,39.6738,-31.1073,-31.1073,SAE,,,s_COR 56 [17181],BASALT [17181],,,,,,,,PORPHYRITIC [17181] ,VOL,,,,,WR [17181] ,45.6,2.68,,14.83,,,,11.33,11.86,7.71,0.2,3.89,1.13,2.76,0.46,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,298,140,,,41,82,92.68,82,19,,,,,28,568,25,176,54,2,,,,,,,1,,,,0.1,418,39.9,78.5,9.36,37.2,7.41,2.34,6.64,1,5.59,1.05,2.63,0.36,2.17,0.32,4.8,4.2,,,,,,,,,1.39,,4.87,1.34,,,,,,,,,,,,,,,,,,,,,,,,,668421
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.6738,39.6738,-31.1073,-31.1073,SAE,,,s_COR 57 [17181],BASALT [17181],,,,,,,,PORPHYRITIC [17181] ,VOL,,,,,WR [17181] ,45.42,2.39,,13.81,,,,10.63,12.33,9.82,0.18,3.49,0.97,2.52,0.4,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,277,248,,,44,132,85,77,17,,,,,24,496,21.9,152,46.4,2,,,,,,,0,,,,0.1,352,34.2,66.3,8.05,32.2,6.42,1.97,5.97,0.88,4.96,0.92,2.23,0.33,1.96,0.29,4.2,3.63,,,,,,,,,3.01,,4.11,1.05,,,,,,,,,,,,,,,,,,,,,,,,,668422
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.675,39.675,-31.1093,-31.1093,SAE,,,s_COR 3 [17181],TRACHYBASALT [17181],,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,48.58,2.61,,17.22,,,,10.02,8.32,4.1,0.21,5.9,1.92,3.98,0.83,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,190,0,,,26,37,32,115,23,,,,,56,755,32.5,264,103.5,2,,,,,,,2,,,,0.4,660,74,132.9,14.17,56,9.91,3.17,7.64,1.18,6.81,1.17,3.27,0.46,2.88,0.39,6.6,7.28,,,,,,,,,0,,9.5,2.08,,,,,,,,,,,,,,,,,,,,,,,,,668423
[17181],OCEAN ISLAND,AZORES / CORVO / PRE-CALDERA STAGE,,39.674,39.674,-31.1065,-31.1065,SAE,,,s_COR 4 [17181],TRACHYBASALT [17181],,,,,,,,MICROLITIC [17181] ,VOL,,,,,WR [17181] ,48.56,2.67,,17.43,,,,10.26,8.43,4.2,0.21,5.64,1.87,3.77,0.82,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,195,0,,,27,37,31,120,22,,,,,51,761,33,270,102.2,0,,,,,,,2,,,,0.5,691,76.9,138.6,14.49,56.5,10.18,3.2,8.05,1.21,7,1.2,3.35,0.47,2.97,0.4,6.7,7.38,,,,,,,,,12,,9.46,1.9,,,,,,,,,,,,,,,,,,,,,,,,,668424
