System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
33 37152.54 1476.45 100.000000 0.0000000000000000 0.018668 -1165942.329861 259.819563 30.586249 126.099219 -20.607096 1504.146043 -4.153 -4.153 0.000000 3.269443 0.000 n/a n/a
34 37152.54 1475.45 100.000000 0.0000000000000000 0.018669 -1166071.646494 259.745630 30.584525 126.092080 -20.606650 1503.666041 -4.158 -4.158 0.000000 3.269627 0.000 n/a n/a
35 37152.54 1474.45 100.000000 0.0000000000000000 0.018670 -1166200.947650 259.671663 30.582802 126.084933 -20.606205 1503.186062 -4.163 -4.163 0.000000 3.269812 0.000 n/a n/a
36 37152.54 1476.50 100.000000 0.0000000000000000 0.018668 -1165935.673913 259.823367 30.586338 126.099586 -20.607119 1504.170748 -4.153 -4.153 0.000000 3.269434 0.000 n/a n/a
37 36745.76 1476.50 100.000000 0.0000000000000000 0.018661 -1167057.170823 259.893611 30.596605 126.136021 -20.639607 1504.339973 -4.175 -4.175 0.000000 3.268336 0.000 n/a n/a
38 36745.76 1475.50 100.000000 0.0000000000000000 0.018662 -1167186.566225 259.819635 30.594877 126.128857 -20.639153 1503.859641 -4.180 -4.180 0.000000 3.268521 0.000 n/a n/a
39 36745.76 1474.50 100.000000 0.0000000000000000 0.018663 -1167315.945794 259.745625 30.593149 126.121686 -20.638699 1503.379334 -4.185 -4.185 0.000000 3.268706 0.000 n/a n/a
40 36745.76 1473.50 100.000000 0.0000000000000000 0.018664 -1167445.309578 259.671583 30.591423 126.114508 -20.638245 1502.899052 -4.189 -4.189 0.000000 3.268890 0.000 n/a n/a
41 36745.76 1475.55 100.000000 0.0000000000000000 0.018662 -1167180.039183 259.823367 30.594964 126.129219 -20.639175 1503.883871 -4.180 -4.180 0.000000 3.268512 0.000 n/a n/a
42 36338.98 1475.55 100.000000 0.0000000000000000 0.018656 -1168301.687174 259.893764 30.605293 126.165705 -20.671813 1504.057594 -4.202 -4.202 0.000000 3.267409 0.000 n/a n/a
43 36338.98 1474.55 100.000000 0.0000000000000000 0.018657 -1168431.146973 259.819711 30.603561 126.158509 -20.671350 1503.576948 -4.207 -4.207 0.000000 3.267594 0.000 n/a n/a
44 36338.98 1473.55 100.000000 0.0000000000000000 0.018658 -1168560.590613 259.745625 30.601829 126.151306 -20.670888 1503.096327 -4.211 -4.211 0.000000 3.267779 0.000 n/a n/a
45 36338.98 1472.55 100.000000 0.0000000000000000 0.018659 -1168690.018145 259.671505 30.600099 126.144095 -20.670426 1502.615732 -4.216 -4.216 0.000000 3.267963 0.000 n/a n/a
46 36338.98 1474.60 100.000000 0.0000000000000000 0.018657 -1168424.756482 259.823367 30.603646 126.158865 -20.671373 1503.600674 -4.207 -4.207 0.000000 3.267585 0.000 n/a n/a
47 35932.20 1474.60 100.000000 0.0000000000000000 0.018651 -1169546.548627 259.893923 30.614038 126.195405 -20.704166 1503.779057 -4.229 -4.229 0.000000 3.266475 0.000 n/a n/a
48 35932.20 1473.60 100.000000 0.0000000000000000 0.018652 -1169676.074039 259.819792 30.612302 126.188176 -20.703694 1503.298087 -4.234 -4.234 0.000000 3.266661 0.000 n/a n/a
49 35932.20 1472.60 100.000000 0.0000000000000000 0.018653 -1169805.582948 259.745628 30.610566 126.180940 -20.703222 1502.817143 -4.239 -4.239 0.000000 3.266846 0.000 n/a n/a
50 35932.20 1471.60 100.000000 0.0000000000000000 0.018654 -1169935.075410 259.671431 30.608832 126.173697 -20.702751 1502.336225 -4.243 -4.243 0.000000 3.267031 0.000 n/a n/a
51 35932.20 1473.65 100.000000 0.0000000000000000 0.018652 -1169669.828110 259.823367 30.612385 126.188525 -20.703716 1503.321281 -4.234 -4.234 0.000000 3.266652 0.000 n/a n/a
